column,dtype_actual,semantic_role,feature_block,measurement_level,grain,unit,source_dataset,source_column,derivation_formula,null_policy,zero_policy,valid_min,valid_max,is_identifier,is_target_candidate,is_denominator,is_context,is_quality_metadata,model_default_active,review_required,notes
employment_rate_pct,Float32,target_candidate_or_phase_signal,EMP,department,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,percent,D02_v2,employment_rate_pct,,target candidate; null means target not observed for that phase,0 is valid if source definition allows; range audited,0.0,100.0,False,True,False,False,False,False,True,Phase-specific target/signal only; exclude unless phase contract explicitly allows.
health_employment_rate_pct,Float32,target_candidate_or_phase_signal,EMP,department,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,percent,D02_v2,health_employment_rate_pct,,target candidate; null means target not observed for that phase,0 is valid if source definition allows; range audited,0.0,100.0,False,True,False,False,False,False,True,Phase-specific target/signal only; exclude unless phase contract explicitly allows.
progression_rate_pct,Float32,target_candidate_or_phase_signal,PROG,department,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,percent,D02_v2,progression_rate_pct,,target candidate; null means target not observed for that phase,0 is valid if source definition allows; range audited,0.0,100.0,False,True,False,False,False,False,True,Phase-specific target/signal only; exclude unless phase contract explicitly allows.
vocational_college_progression_rate_pct,Float32,target_candidate_or_phase_signal,PROG,department,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,percent,D02_v2,vocational_college_progression_rate_pct,,target candidate; null means target not observed for that phase,0 is valid if source definition allows; range audited,0.0,50.0,False,True,False,False,False,False,True,Phase-specific target/signal only; exclude unless phase contract explicitly allows.
university_progression_rate_pct,Float32,target_candidate_or_phase_signal,PROG,department,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,percent,D02_v2,university_progression_rate_pct,,target candidate; null means target not observed for that phase,0 is valid if source definition allows; range audited,0.0,25.0,False,True,False,False,False,False,True,Phase-specific target/signal only; exclude unless phase contract explicitly allows.
graduate_school_progression_rate_pct,Float32,target_candidate_or_phase_signal,PROG,department,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,percent,D02_v2,graduate_school_progression_rate_pct,,target candidate; null means target not observed for that phase,0 is valid if source definition allows; range audited,0.0,100.0,False,True,False,False,False,False,True,Phase-specific target/signal only; exclude unless phase contract explicitly allows.
domestic_progression_rate_pct,Float32,target_candidate_or_phase_signal,PROG,department,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,percent,D02_v2,domestic_progression_rate_pct,,target candidate; null means target not observed for that phase,0 is valid if source definition allows; range audited,0.0,100.0,False,True,False,False,False,False,True,Phase-specific target/signal only; exclude unless phase contract explicitly allows.
overseas_progression_rate_pct,Float32,target_candidate_or_phase_signal,PROG,department,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,percent,D02_v2,overseas_progression_rate_pct,,target candidate; null means target not observed for that phase,0 is valid if source definition allows; range audited,0.0,18.18181800842285,False,True,False,False,False,False,True,Phase-specific target/signal only; exclude unless phase contract explicitly allows.
has_selectivity,boolean,sample_observation_flag,QUALITY,row_quality,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,flag,D02_v2,has_selectivity,,"identifier/metadata; nulls audited, not imputed",False/0 is a valid category,0.0,1.0,False,False,False,False,True,False,False,candidate_feature_or_context
has_employment,boolean,target_family_observation_flag,QUALITY,row_quality,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,flag,D02_v2,has_employment,,"identifier/metadata; nulls audited, not imputed",False/0 is a valid category,0.0,1.0,False,False,False,False,True,False,False,candidate_feature_or_context
has_progression,boolean,target_family_observation_flag,QUALITY,row_quality,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,flag,D02_v2,has_progression,,"identifier/metadata; nulls audited, not imputed",False/0 is a valid category,0.0,1.0,False,False,False,False,True,False,False,candidate_feature_or_context
rate_range_qa,category,match_or_review_metadata,QUALITY,row_quality,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,metadata,D02_v2,rate_range_qa,,"identifier/metadata; nulls audited, not imputed",not numeric or not applicable,,,False,False,False,False,True,False,False,candidate_feature_or_context
source_file,str,identifier_or_label,K,department,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,id_or_label,D02_v2,source_file,,"identifier/metadata; nulls audited, not imputed",not numeric or not applicable,,,True,False,False,False,False,False,False,identifier_label_or_qa_metadata
source_sha256,str,identifier_or_label,K,department,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,id_or_label,D02_v2,source_sha256,,"identifier/metadata; nulls audited, not imputed",not numeric or not applicable,,,True,False,False,False,False,False,False,identifier_label_or_qa_metadata
campus_region_raw,string,stratification_feature,S0,school_department,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,category,D02_v2,campus_region_raw,,feature candidate; impute only inside train-fitted preprocessing,not numeric or not applicable,,,False,False,False,True,False,False,False,identifier_label_or_qa_metadata
dept_norm_strict,string,identifier_or_label,K,department,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,id_or_label,D01_v2,dept_norm_strict,,"identifier/metadata; nulls audited, not imputed",not numeric or not applicable,,,True,False,False,False,False,False,False,candidate_feature_or_context
dept_norm_suffix_reduced,string,identifier_or_label,K,department,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,id_or_label,D01_v2,dept_norm_suffix_reduced,,"identifier/metadata; nulls audited, not imputed",not numeric or not applicable,,,True,False,False,False,False,False,False,candidate_feature_or_context
dept_token_signature,string,identifier_or_label,K,department,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,id_or_label,D01_v2,dept_token_signature,,"identifier/metadata; nulls audited, not imputed",not numeric or not applicable,,,True,False,False,False,False,False,False,candidate_feature_or_context
school_uid_x,string,identifier_or_label,K,department,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,id_or_label,D03_v2,school_uid_x,,"identifier/metadata; nulls audited, not imputed",not numeric or not applicable,,,True,False,False,False,False,False,False,candidate_feature_or_context
headcount_row_id,str,identifier_or_label,K,department,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,id_or_label,D01_v2,headcount_row_id,,"identifier/metadata; nulls audited, not imputed",not numeric or not applicable,,,True,False,False,False,False,False,False,identifier_label_or_qa_metadata
match_stage,str,match_or_review_metadata,QUALITY,row_quality,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,metadata,D03_v2,match_stage,,"identifier/metadata; nulls audited, not imputed",not numeric or not applicable,,,False,False,False,False,True,False,False,candidate_feature_or_context
match_method,str,match_or_review_metadata,QUALITY,row_quality,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,metadata,D03_v2,match_method,,"identifier/metadata; nulls audited, not imputed",not numeric or not applicable,,,False,False,False,False,True,False,False,candidate_feature_or_context
match_status,str,match_or_review_metadata,QUALITY,row_quality,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,metadata,D03_v2,match_status,,"identifier/metadata; nulls audited, not imputed",not numeric or not applicable,,,False,False,False,False,True,False,False,candidate_feature_or_context
match_score,float64,match_or_review_metadata,QUALITY,row_quality,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,metadata,D03_v2,match_score,,"identifier/metadata; nulls audited, not imputed",not numeric or not applicable,1.0,1.0,False,False,False,False,True,False,False,candidate_feature_or_context
candidate_count,Int16,match_or_review_metadata,QUALITY,row_quality,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,metadata,D03_v2,candidate_count,,"identifier/metadata; nulls audited, not imputed",not numeric or not applicable,0.0,180.0,False,False,False,False,True,False,False,candidate_feature_or_context
review_needed,boolean,match_or_review_metadata,QUALITY,row_quality,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,metadata,D03_v2,review_needed,,"identifier/metadata; nulls audited, not imputed",not numeric or not applicable,0.0,1.0,False,False,False,False,True,False,False,identifier_label_or_qa_metadata
unmatched_reason,str,match_or_review_metadata,QUALITY,row_quality,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,metadata,D03_v2,unmatched_reason,,"identifier/metadata; nulls audited, not imputed",not numeric or not applicable,,,False,False,False,False,True,False,False,candidate_feature_or_context
match_evidence,str,match_or_review_metadata,QUALITY,row_quality,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,metadata,D03_v2,match_evidence,,"identifier/metadata; nulls audited, not imputed",not numeric or not applicable,,,False,False,False,False,True,False,False,identifier_label_or_qa_metadata
candidate_headcount_row_ids,str,match_or_review_metadata,QUALITY,row_quality,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,metadata,D03_v2,candidate_headcount_row_ids,,"identifier/metadata; nulls audited, not imputed",not numeric or not applicable,,,False,False,False,False,True,False,False,candidate_feature_or_context
candidate_preview,str,match_or_review_metadata,QUALITY,row_quality,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,metadata,D03_v2,candidate_preview,,"identifier/metadata; nulls audited, not imputed",not numeric or not applicable,,,False,False,False,False,True,False,False,identifier_label_or_qa_metadata
campus_conflict_flag,bool,match_or_review_metadata,QUALITY,row_quality,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,metadata,D03_v2,campus_conflict_flag,,"identifier/metadata; nulls audited, not imputed",not numeric or not applicable,0.0,1.0,False,False,False,False,True,False,False,candidate_feature_or_context
degree_course_conflict_flag,bool,match_or_review_metadata,QUALITY,row_quality,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,metadata,D03_v2,degree_course_conflict_flag,,"identifier/metadata; nulls audited, not imputed",not numeric or not applicable,0.0,0.0,False,False,False,False,True,False,False,candidate_feature_or_context
major_conflict_flag,bool,match_or_review_metadata,QUALITY,row_quality,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,metadata,D03_v2,major_conflict_flag,,"identifier/metadata; nulls audited, not imputed",not numeric or not applicable,0.0,0.0,False,False,False,False,True,False,False,candidate_feature_or_context
forbidden_modifier_conflict_flag,bool,match_or_review_metadata,QUALITY,row_quality,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,metadata,D03_v2,forbidden_modifier_conflict_flag,,"identifier/metadata; nulls audited, not imputed",not numeric or not applicable,0.0,0.0,False,False,False,False,True,False,False,candidate_feature_or_context
headcount_match_flag,bool,match_or_review_metadata,QUALITY,row_quality,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,metadata,D03_v2,headcount_match_flag,,"identifier/metadata; nulls audited, not imputed",not numeric or not applicable,0.0,1.0,False,False,False,False,True,False,False,candidate_feature_or_context
headcount_grain_version,str,feature_candidate,OTHER,department,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,category,D01_v2,headcount_grain_version,,feature candidate; impute only inside train-fitted preprocessing,not numeric or not applicable,,,False,False,False,False,False,False,True,Unclassified by source registry and local semantics; manual review required.
headcount_grain_uid,string,identifier_or_label,K,department,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,id_or_label,D01_v2,headcount_grain_uid,,"identifier/metadata; nulls audited, not imputed",not numeric or not applicable,,,True,False,False,False,False,False,False,candidate_feature_or_context
grain_resolution_method,str,feature_candidate,OTHER,department,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,category,D01_v2,grain_resolution_method,,feature candidate; impute only inside train-fitted preprocessing,not numeric or not applicable,,,False,False,False,False,False,False,True,Unclassified by source registry and local semantics; manual review required.
grain_review_needed,boolean,match_or_review_metadata,QUALITY,row_quality,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,metadata,D01_v2,grain_review_needed,,"identifier/metadata; nulls audited, not imputed",not numeric or not applicable,0.0,0.0,False,False,False,False,True,False,False,identifier_label_or_qa_metadata
raw_row_lineage,string,identifier_or_label,K,department,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,id_or_label,D01_v2,raw_row_lineage,,"identifier/metadata; nulls audited, not imputed",not numeric or not applicable,15.0,35011.0,True,False,False,False,False,False,False,candidate_feature_or_context
school_uid_y,string,identifier_or_label,K,department,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,id_or_label,D03_v2,school_uid_y,,"identifier/metadata; nulls audited, not imputed",not numeric or not applicable,,,True,False,False,False,False,False,False,candidate_feature_or_context
campus_uid,string,identifier_or_label,K,department,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,id_or_label,D01_v2,campus_uid,,"identifier/metadata; nulls audited, not imputed",not numeric or not applicable,,,True,False,False,False,False,False,False,candidate_feature_or_context
dept_uid,string,identifier_or_label,K,department,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,id_or_label,D01_v2,dept_uid,,"identifier/metadata; nulls audited, not imputed",not numeric or not applicable,,,True,False,False,False,False,False,False,candidate_feature_or_context
kedi_dept_code,string,identifier_or_label,K,department,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,id_or_label,D01_v2,kedi_dept_code,,"identifier/metadata; nulls audited, not imputed",not numeric or not applicable,,,True,False,False,False,False,False,False,candidate_feature_or_context
school_type,string,stratification_feature,S0,school_department,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,category,D01_v2,school_type,,feature candidate; impute only inside train-fitted preprocessing,not numeric or not applicable,,,False,False,False,True,False,True,False,candidate_feature_or_context
degree_course,string,stratification_feature,S0,school_department,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,category,D01_v2,degree_course,,feature candidate; impute only inside train-fitted preprocessing,not numeric or not applicable,,,False,False,False,True,False,True,False,candidate_feature_or_context
school_status_raw,string,match_or_review_metadata,QUALITY,row_quality,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,metadata,D01_v2,school_status_raw,,"identifier/metadata; nulls audited, not imputed",not numeric or not applicable,,,False,False,False,False,True,False,False,identifier_label_or_qa_metadata
day_evening_raw,string,stratification_feature,S0,school_department,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,category,D01_v2,day_evening_raw,,feature candidate; impute only inside train-fitted preprocessing,not numeric or not applicable,,,False,False,False,True,False,False,False,identifier_label_or_qa_metadata
campus_name_raw_y,string,identifier_or_label,K,department,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,id_or_label,D03_v2,campus_name_raw_y,,"identifier/metadata; nulls audited, not imputed",not numeric or not applicable,,,True,False,False,False,False,False,False,candidate_feature_or_context
campus_name_std_y,string,identifier_or_label,K,department,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,id_or_label,D03_v2,campus_name_std_y,,"identifier/metadata; nulls audited, not imputed",not numeric or not applicable,,,True,False,False,False,False,False,False,candidate_feature_or_context
region_sido,string,stratification_feature,S0,school_department,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,category,D01_v2,region_sido,,feature candidate; impute only inside train-fitted preprocessing,not numeric or not applicable,,,False,False,False,True,False,True,False,candidate_feature_or_context
region_sigungu,string,stratification_feature,S0,school_department,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,category,D01_v2,region_sigungu,,feature candidate; impute only inside train-fitted preprocessing,not numeric or not applicable,,,False,False,False,True,False,True,False,candidate_feature_or_context
hc_major_group_raw,string,feature_candidate,OTHER,department,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,category,D03_v2,hc_major_group_raw,,feature candidate; impute only inside train-fitted preprocessing,not numeric or not applicable,,,False,False,False,False,False,False,True,Unclassified by source registry and local semantics; manual review required.
hc_major_group_7,string,stratification_feature,S0,school_department,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,category,D03_v2,hc_major_group_7,,feature candidate; impute only inside train-fitted preprocessing,not numeric or not applicable,,,False,False,False,True,False,True,False,candidate_feature_or_context
field_middle_name,string,stratification_feature,S0,school_department,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,category,D01_v2,field_middle_name,,feature candidate; impute only inside train-fitted preprocessing,not numeric or not applicable,,,False,False,False,True,False,True,False,candidate_feature_or_context
field_small_name,string,stratification_feature,S0,school_department,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,category,D01_v2,field_small_name,,feature candidate; impute only inside train-fitted preprocessing,not numeric or not applicable,,,False,False,False,True,False,True,False,candidate_feature_or_context
admission_capacity_n,Int32,count_or_denominator_candidate,DENOM,school_department,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,count,D01_v2,admission_capacity_n,,count/denominator candidate; null not imputed before split,observed 0 is a true zero; denominator use requires >0 check,0.0,4500.0,False,False,True,True,False,True,False,candidate_feature_or_context
recruitment_n,Int32,count_or_denominator_candidate,DENOM,school_department,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,count,D01_v2,recruitment_n,,count/denominator candidate; null not imputed before split,observed 0 is a true zero; denominator use requires >0 check,0.0,4815.0,False,False,True,True,False,True,False,candidate_feature_or_context
applicants_n,Int32,count_or_denominator_candidate,DENOM,school_department,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,count,D01_v2,applicants_n,,count/denominator candidate; null not imputed before split,observed 0 is a true zero; denominator use requires >0 check,0.0,14788.0,False,False,True,True,False,True,False,candidate_feature_or_context
admits_n,Int32,count_or_denominator_candidate,DENOM,school_department,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,count,D01_v2,admits_n,,count/denominator candidate; null not imputed before split,observed 0 is a true zero; denominator use requires >0 check,0.0,1069.0,False,False,True,True,False,True,False,candidate_feature_or_context
enrolled_students_n,Int32,count_or_denominator_candidate,DENOM,school_department,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,count,D01_v2,enrolled_students_n,,count/denominator candidate; null not imputed before split,observed 0 is a true zero; denominator use requires >0 check,0.0,13106.0,False,False,True,True,False,True,False,candidate_feature_or_context
leave_students_n,Int32,count_or_denominator_candidate,DENOM,school_department,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,count,D01_v2,leave_students_n,,count/denominator candidate; null not imputed before split,observed 0 is a true zero; denominator use requires >0 check,0.0,3191.0,False,False,True,True,False,True,False,candidate_feature_or_context
graduates_n,Int32,count_or_denominator_candidate,DENOM,school_department,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,count,D01_v2,graduates_n,,count/denominator candidate; null not imputed before split,observed 0 is a true zero; denominator use requires >0 check,0.0,3259.0,False,False,True,True,False,True,False,candidate_feature_or_context
fulltime_faculty_n,Int32,count_or_denominator_candidate,DENOM,school_department,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,count,D01_v2,fulltime_faculty_n,,count/denominator candidate; null not imputed before split,observed 0 is a true zero; denominator use requires >0 check,0.0,903.0,False,False,True,True,False,True,False,candidate_feature_or_context
nonfulltime_faculty_n,Int32,count_or_denominator_candidate,DENOM,school_department,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,count,D01_v2,nonfulltime_faculty_n,,count/denominator candidate; null not imputed before split,observed 0 is a true zero; denominator use requires >0 check,0.0,854.0,False,False,True,True,False,True,False,candidate_feature_or_context
international_students_n,Int32,count_or_denominator_candidate,DENOM,school_department,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,count,D01_v2,international_students_n,,count/denominator candidate; null not imputed before split,observed 0 is a true zero; denominator use requires >0 check,0.0,712.0,False,False,True,True,False,True,False,candidate_feature_or_context
female_students_n,Int32,count_or_denominator_candidate,DENOM,school_department,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,count,D01_v2,female_students_n,,count/denominator candidate; null not imputed before split,observed 0 is a true zero; denominator use requires >0 check,0.0,10211.0,False,False,True,True,False,True,False,candidate_feature_or_context
masters_students_n,Int32,count_or_denominator_candidate,DENOM,school_department,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,count,D01_v2,masters_students_n,,count/denominator candidate; null not imputed before split,observed 0 is a true zero; denominator use requires >0 check,0.0,0.0,False,False,True,True,False,True,False,candidate_feature_or_context
doctoral_students_n,Int32,count_or_denominator_candidate,DENOM,school_department,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,count,D01_v2,doctoral_students_n,,count/denominator candidate; null not imputed before split,observed 0 is a true zero; denominator use requires >0 check,0.0,0.0,False,False,True,True,False,True,False,candidate_feature_or_context
competition_ratio,Float32,admission_selectivity_feature,Q,school_department,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,ratio,D01_v2,competition_ratio,applicants_n / recruitment_n where recruitment_n > 0,feature candidate; impute only inside train-fitted preprocessing,0 is valid if source definition allows; range audited,0.0,139.0270233154297,False,False,False,True,False,True,False,candidate_feature_or_context
admission_yield_ratio,Float32,admission_selectivity_feature,Q,school_department,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,ratio,D01_v2,admission_yield_ratio,admits_n / recruitment_n where recruitment_n > 0,feature candidate; impute only inside train-fitted preprocessing,0 is valid if source definition allows; range audited,0.0,14.399999618530273,False,False,False,True,False,True,False,candidate_feature_or_context
admit_per_applicant_ratio,Float32,admission_selectivity_feature,Q,school_department,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,ratio,D01_v2,admit_per_applicant_ratio,admits_n / applicants_n where applicants_n > 0,feature candidate; impute only inside train-fitted preprocessing,0 is valid if source definition allows; range audited,0.0,1.3095238208770752,False,False,False,True,False,True,False,candidate_feature_or_context
leave_rate_pct,Float32,department_structure_feature,B,school_department,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,percent,D01_v2,leave_rate_pct,leave_students_n / enrolled_students_n * 100 where enrolled_students_n > 0,feature candidate; impute only inside train-fitted preprocessing,0 is valid if source definition allows; range audited,0.0,100.0,False,False,False,True,False,True,False,candidate_feature_or_context
female_student_share_pct,Float32,department_structure_feature,B,school_department,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,percent,D01_v2,female_student_share_pct,female_students_n / enrolled_students_n * 100 where enrolled_students_n > 0,feature candidate; impute only inside train-fitted preprocessing,0 is valid if source definition allows; range audited,0.0,100.0,False,False,False,True,False,True,False,candidate_feature_or_context
international_student_share_pct,Float32,department_structure_feature,B,school_department,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,percent,D01_v2,international_student_share_pct,international_students_n / enrolled_students_n * 100 where enrolled_students_n > 0,feature candidate; impute only inside train-fitted preprocessing,0 is valid if source definition allows; range audited,0.0,100.0,False,False,False,True,False,True,False,candidate_feature_or_context
student_faculty_ratio,Float32,department_structure_feature,B,school_department,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,derived_numeric,D01_v2,student_faculty_ratio,enrolled_students_n / (fulltime_faculty_n + nonfulltime_faculty_n) where faculty total > 0,feature candidate; impute only inside train-fitted preprocessing,not numeric or not applicable,0.0,1613.5,False,False,False,True,False,True,False,candidate_feature_or_context
