직무분류,고등교육기관_자격증취득수,학부_자격증취득수,대학원_자격증취득수,직무비율_pct,primary_industry_candidate,industry_candidates,mapping_type,confidence,review_needed,join_now,current_analysis_policy,guide_match_dept_n,guide_match_school_sum,guide_match_student_sum,guide_match_top_departments,guide_terms,decision_note
건설,30144.0,24665.0,5479.0,9.933859949183878,F.건설업,F.건설업,direct_domain_match,high,False,False,별도 후보 매핑표로만 보관. df_integrated_major에는 조인하지 않음,166,460,401643,"건축(67,704) | 건축공(38,840) | 건설시스템공(25,416) | 토목공(24,042) | 건축학(23,613) | 건축공학(18,669)","건설, 건축, 토목, 도시, 건설환경",건설/건축/토목 학과명 근거가 명확
광업자원,64.0,37.0,27.0,0.021090997768967893,B.광업,B.광업 | A.농림어업 | M.전문·과학·기술업,small_count_resource_domain,medium,True,False,별도 후보 매핑표로만 보관. df_integrated_major에는 조인하지 않음,66,113,76677,"생명공(16,972) | 동물자원과(4,968) | 생명자원(4,483) | 동물자원(3,879) | 식품자원경제(3,542) | 에너지자원공(3,290)","광업, 자원, 에너지자원, 지질, 자원공",직무 건수가 작고 자원/에너지/연구 성격이 섞여 후보형 유지
기계,24490.0,21767.0,2723.0,8.07060211503162,C.제조업,C.제조업,manufacturing_domain_match,high,False,False,별도 후보 매핑표로만 보관. df_integrated_major에는 조인하지 않음,192,386,394110,"기계공(129,515) | 기계공학(29,642) | 메카트로닉스공(14,253) | 기계제어공(11,154) | 기계자동차공(9,166) | 미래자동차공(8,142)","기계, 자동차, 메카트로닉스, 로봇",기계 계열 자격은 제조업 대분류 후보가 가장 강함
재료,4699.0,4190.0,509.0,1.5485406018184396,C.제조업,C.제조업,manufacturing_domain_match,high,False,False,별도 후보 매핑표로만 보관. df_integrated_major에는 조인하지 않음,128,328,368070,"전자공(118,221) | 화학공(55,905) | 신소재공(55,590) | 반도체공(10,601) | 신소재공학(10,069) | 기계설계공(6,343)","재료, 신소재, 금속, 세라믹, 나노",재료/신소재는 제조업 소재 분야로 대응
화학,7837.0,6512.0,1325.0,2.5826585861781464,C.제조업,C.제조업 | E.수도·하수·폐기물업 | M.전문·과학·기술업,manufacturing_with_research_environment_candidates,medium,True,False,별도 후보 매핑표로만 보관. df_integrated_major에는 조인하지 않음,203,420,352801,"화학공(55,905) | 화(50,243) | 화공생명공(13,602) | 화학공학(12,035) | 연극영화(6,790) | 글로벌교육문화(6,371)","화학, 화공, 생명화학, 화학공",제조업이 주 후보지만 연구/환경 자격과 일부 겹칠 수 있음
섬유·의복,413.0,330.0,83.0,0.13610284497787092,C.제조업,C.제조업 | R.예술·스포츠·여가업,manufacturing_design_mixed,medium,True,False,별도 후보 매핑표로만 보관. df_integrated_major에는 조인하지 않음,53,107,85891,"패션디자인(17,667) | 의류(11,983) | 미술·디자인(5,290) | 패션산업(3,356) | 생활과의류패션학(3,181) | 글로벌패션산업(2,988)","섬유, 의복, 패션, 의류","섬유 생산은 제조업, 패션디자인은 예술/전문서비스와 겹침"
전기·전자,17238.0,15017.0,2221.0,5.680728430335446,C.제조업,C.제조업 | D.전기·가스·증기업,manufacturing_energy_mixed,medium,True,False,별도 후보 매핑표로만 보관. df_integrated_major에는 조인하지 않음,200,420,510578,"전자공(118,221) | 전기공(58,992) | 전기전자공(54,462) | 전자전기공(32,174) | 전기전자공학(14,343) | 전기공학(13,666)","전기, 전자, 전기전자, 반도체",전자 제조가 주 후보이나 전기 설비/에너지 산업과 일부 겹침
정보통신,27102.0,17560.0,9542.0,8.931378461477623,J.정보통신업,J.정보통신업 | C.제조업,direct_ict_match,high,False,False,별도 후보 매핑표로만 보관. df_integrated_major에는 조인하지 않음,325,805,923827,"컴퓨터공(160,481) | 전자공(118,221) | 컴퓨터과(74,259) | 소프트웨어(54,406) | 컴퓨터공학(33,254) | 전자전기공(32,174)","정보통신, 컴퓨터, 소프트웨어, AI, 데이터, 보안, 인공지능",학과명 가이드에서 컴퓨터/소프트웨어/정보통신 근거가 강함
식품가공,7228.0,6133.0,1095.0,2.3819645605328112,C.제조업,C.제조업 | I.숙박·음식점업,food_manufacturing_main,medium,True,False,별도 후보 매핑표로만 보관. df_integrated_major에는 조인하지 않음,86,236,167832,"식품영양(61,035) | 생활과식품영양학(27,070) | 식품공(17,955) | 식품생명공(12,851) | 식품영양학(7,596) | 식품공학(4,852)","식품, 식품공, 식품가공, 식품영양, 푸드",식품가공은 제조업이 주 후보이나 서비스/영양 학과와 일부 겹침
인쇄·목재·가구·공예,998.0,844.0,154.0,0.3288877464598431,C.제조업,C.제조업 | R.예술·스포츠·여가업,manufacturing_craft_mixed,medium,True,False,별도 후보 매핑표로만 보관. df_integrated_major에는 조인하지 않음,24,75,63415,"디자인(35,556) | 문화콘텐츠(10,563) | 공예디자인(3,593) | 공예과(3,178) | 공예(1,327) | 전통미술공예(1,158)","인쇄, 목재, 가구, 공예, 목조, 출판",제조업 기반이지만 공예/디자인 계열과 겹쳐 후보형 유지
농림어업,4153.0,3192.0,961.0,1.368608027101932,A.농림어업,A.농림어업,direct_domain_match,high,False,False,별도 후보 매핑표로만 보관. df_integrated_major에는 조인하지 않음,94,144,124942,"농(46,440) | 수산생명의(5,843) | 동물자원과(4,968) | 동물자원(3,879) | 환경원예조경(3,663) | 원예과(3,570)","농, 농림, 어업, 수산, 동물자원, 원예, 산림",농림어업 산업 대분류와 직접 대응
안전관리,16050.0,13126.0,2924.0,5.28922678424898,,O.공공행정 | N.사업시설·지원업 | C.제조업 | F.건설업,cross_industry_risk_management,low,True,False,별도 후보 매핑표로만 보관. df_integrated_major에는 조인하지 않음,127,403,497134,"컴퓨터공(160,481) | 법(95,311) | 정보통신공(24,605) | 소방방재(23,405) | 보건환경안전(16,624) | 산업안(14,415)","안전, 산업안전, 소방, 방재, 보건환경안전, 보안",안전관리는 여러 산업에 걸친 기능이라 현재 단계에서 primary 확정 금지
환경·에너지,5731.0,4085.0,1646.0,1.8886329408430467,E.수도·하수·폐기물업,E.수도·하수·폐기물업 | D.전기·가스·증기업 | M.전문·과학·기술업,environment_energy_mixed,medium,True,False,별도 후보 매핑표로만 보관. df_integrated_major에는 조인하지 않음,231,440,336469,"화학공(55,905) | 환경공(20,940) | 생명공(16,972) | 보건환경안전(16,624) | 건설환경공(14,833) | 토목환경공(10,523)","환경, 에너지, 신재생, 폐기물, 수질, 대기, 에너지공",환경과 에너지가 결합되어 E/D/M 후보를 모두 유지
미상,2313.0,1918.0,395.0,0.7622418412441052,결측값,결측값,source_coded_unknown,unknown,True,False,별도 후보 매핑표로만 보관. df_integrated_major에는 조인하지 않음,0,0,0,,,원천 코드형 미상. 산업분류로 배정하지 말고 결측성 플래그로 유지
