dataset,column_name,dtype,role,unit,source_topic_ids,null_policy,transformation,interpretation_note
D06,industry_entropy,Float32,context_feature,mixed,GOMS_006,no_imputation; preserve missing and flag,long_to_major_year_contract,"major-level GOMS context, not department-specific outcome"
D06,professional_highskill_pct,Float32,context_feature,pct,GOMS_011|GOMS_012,no_imputation; preserve missing and flag,long_to_major_year_contract,"major-level GOMS context, not department-specific outcome"
D06,business_office_finance_pct,Float32,context_feature,pct,GOMS_011|GOMS_012,no_imputation; preserve missing and flag,long_to_major_year_contract,"major-level GOMS context, not department-specific outcome"
D06,service_sales_pct,Float32,context_feature,pct,GOMS_011|GOMS_012,no_imputation; preserve missing and flag,long_to_major_year_contract,"major-level GOMS context, not department-specific outcome"
D06,production_transport_pct,Float32,context_feature,pct,GOMS_011|GOMS_012,no_imputation; preserve missing and flag,long_to_major_year_contract,"major-level GOMS context, not department-specific outcome"
D06,occupation_top3_pct,Float32,context_feature,pct,GOMS_011|GOMS_012,no_imputation; preserve missing and flag,long_to_major_year_contract,"major-level GOMS context, not department-specific outcome"
D06,occupation_hhi,Float32,context_feature,ratio,GOMS_011|GOMS_012,no_imputation; preserve missing and flag,long_to_major_year_contract,"major-level GOMS context, not department-specific outcome"
D06,occupation_schema_version,category,context_feature,mixed,GOMS_011|GOMS_012,no_imputation; preserve missing and flag,long_to_major_year_contract,"major-level GOMS context, not department-specific outcome"
D06,firm_1_9_pct,Float32,context_feature,pct,GOMS_015,no_imputation; preserve missing and flag,long_to_major_year_contract,"major-level GOMS context, not department-specific outcome"
D06,firm_10_49_pct,Float32,context_feature,pct,GOMS_015,no_imputation; preserve missing and flag,long_to_major_year_contract,"major-level GOMS context, not department-specific outcome"
D06,firm_50_299_pct,Float32,context_feature,pct,GOMS_015,no_imputation; preserve missing and flag,long_to_major_year_contract,"major-level GOMS context, not department-specific outcome"
D06,firm_300plus_pct,Float32,context_feature,pct,GOMS_015,no_imputation; preserve missing and flag,long_to_major_year_contract,"major-level GOMS context, not department-specific outcome"
D06,firm_size_hhi,Float32,context_feature,ratio,GOMS_015,no_imputation; preserve missing and flag,long_to_major_year_contract,"major-level GOMS context, not department-specific outcome"
D06,private_domestic_pct,Float32,context_feature,pct,GOMS_018,no_imputation; preserve missing and flag,long_to_major_year_contract,"major-level GOMS context, not department-specific outcome"
D06,foreign_private_pct,Float32,context_feature,pct,GOMS_018,no_imputation; preserve missing and flag,long_to_major_year_contract,"major-level GOMS context, not department-specific outcome"
D06,public_enterprise_pct,Float32,context_feature,pct,GOMS_018,no_imputation; preserve missing and flag,long_to_major_year_contract,"major-level GOMS context, not department-specific outcome"
D06,government_pct,Float32,context_feature,pct,GOMS_018,no_imputation; preserve missing and flag,long_to_major_year_contract,"major-level GOMS context, not department-specific outcome"
D06,nonprofit_pct,Float32,context_feature,pct,GOMS_018,no_imputation; preserve missing and flag,long_to_major_year_contract,"major-level GOMS context, not department-specific outcome"
D06,public_nonprofit_pct,Float32,context_feature,pct,GOMS_018,no_imputation; preserve missing and flag,long_to_major_year_contract,"major-level GOMS context, not department-specific outcome"
D06,permanent_pct,Float32,context_feature,pct,GOMS_021,no_imputation; preserve missing and flag,long_to_major_year_contract,"major-level GOMS context, not department-specific outcome"
D06,unstable_pct,Float32,context_feature,pct,GOMS_021,no_imputation; preserve missing and flag,long_to_major_year_contract,"major-level GOMS context, not department-specific outcome"
D06,self_employed_pct,Float32,context_feature,pct,GOMS_003,no_imputation; preserve missing and flag,long_to_major_year_contract,"major-level GOMS context, not department-specific outcome"
D06,mean_monthly_income_10kkrw,Float32,context_feature,10k_krw,GOMS_024,no_imputation; preserve missing and flag,long_to_major_year_contract,"major-level GOMS context, not department-specific outcome"
D06,weekly_work_hours,Float32,context_feature,hours,GOMS_033,no_imputation; preserve missing and flag,long_to_major_year_contract,"major-level GOMS context, not department-specific outcome"
D06,hourly_income_proxy,Float32,context_feature,10k_krw,GOMS_024,no_imputation; preserve missing and flag,long_to_major_year_contract,"major-level GOMS context, not department-specific outcome"
D06,source_topic_count,Int16,qa_or_metadata,mixed,derived_or_metadata,not_null_expected,long_to_major_year_contract,"major-level GOMS context, not department-specific outcome"
D06,missing_feature_count,Int16,qa_or_metadata,mixed,derived_or_metadata,not_null_expected,long_to_major_year_contract,"major-level GOMS context, not department-specific outcome"
D06,row_qa_status,category,qa_or_metadata,mixed,derived_or_metadata,not_null_expected,long_to_major_year_contract,"major-level GOMS context, not department-specific outcome"
D07,major_group_7,category,key,mixed,derived_or_metadata,not_null_expected,long_to_major_year_contract,"major-level GOMS context, not department-specific outcome"
D07,profile_start_year,Int16,qa_or_metadata,mixed,derived_or_metadata,not_null_expected,long_to_major_year_contract,"major-level GOMS context, not department-specific outcome"
D07,profile_end_year,Int16,qa_or_metadata,mixed,derived_or_metadata,not_null_expected,long_to_major_year_contract,"major-level GOMS context, not department-specific outcome"
D07,profile_years_n,Int16,qa_or_metadata,count,derived_or_metadata,not_null_expected,long_to_major_year_contract,"major-level GOMS context, not department-specific outcome"
D07,aggregation_method,category,qa_or_metadata,mixed,derived_or_metadata,not_null_expected,long_to_major_year_contract,"major-level GOMS context, not department-specific outcome"
D07,recent_employment_rate_pct,Float32,context_feature,pct,GOMS_003,no_imputation; preserve missing and flag,long_to_major_year_contract,"major-level GOMS context, not department-specific outcome"
D07,recent_firm_300plus_pct,Float32,context_feature,pct,GOMS_015,no_imputation; preserve missing and flag,long_to_major_year_contract,"major-level GOMS context, not department-specific outcome"
D07,recent_public_nonprofit_pct,Float32,context_feature,pct,GOMS_018,no_imputation; preserve missing and flag,long_to_major_year_contract,"major-level GOMS context, not department-specific outcome"
D07,recent_permanent_pct,Float32,context_feature,pct,GOMS_021,no_imputation; preserve missing and flag,long_to_major_year_contract,"major-level GOMS context, not department-specific outcome"
D07,recent_unstable_pct,Float32,context_feature,pct,GOMS_021,no_imputation; preserve missing and flag,long_to_major_year_contract,"major-level GOMS context, not department-specific outcome"
D07,recent_self_employed_pct,Float32,context_feature,pct,GOMS_003,no_imputation; preserve missing and flag,long_to_major_year_contract,"major-level GOMS context, not department-specific outcome"
D07,recent_industry_hhi,Float32,context_feature,ratio,GOMS_006,no_imputation; preserve missing and flag,long_to_major_year_contract,"major-level GOMS context, not department-specific outcome"
D07,recent_industry_top3_pct,Float32,context_feature,pct,GOMS_006,no_imputation; preserve missing and flag,long_to_major_year_contract,"major-level GOMS context, not department-specific outcome"
D07,recent_professional_highskill_pct,Float32,context_feature,pct,GOMS_011|GOMS_012,no_imputation; preserve missing and flag,long_to_major_year_contract,"major-level GOMS context, not department-specific outcome"
D07,recent_mean_income_10kkrw,Float32,context_feature,10k_krw,GOMS_024,no_imputation; preserve missing and flag,long_to_major_year_contract,"major-level GOMS context, not department-specific outcome"
D07,recent_weekly_work_hours,Float32,context_feature,hours,GOMS_033,no_imputation; preserve missing and flag,long_to_major_year_contract,"major-level GOMS context, not department-specific outcome"
D07,recent_hourly_income_proxy,Float32,context_feature,10k_krw,GOMS_024,no_imputation; preserve missing and flag,long_to_major_year_contract,"major-level GOMS context, not department-specific outcome"
D07,income_trend_per_year,Float32,context_feature,10k_krw,GOMS_024,no_imputation; preserve missing and flag,long_to_major_year_contract,"major-level GOMS context, not department-specific outcome"
D07,hours_trend_per_year,Float32,context_feature,hours,GOMS_033,no_imputation; preserve missing and flag,long_to_major_year_contract,"major-level GOMS context, not department-specific outcome"
D07,firm_300plus_trend_per_year,Float32,context_feature,mixed,GOMS_015,no_imputation; preserve missing and flag,long_to_major_year_contract,"major-level GOMS context, not department-specific outcome"
D07,permanent_trend_per_year,Float32,context_feature,mixed,GOMS_021,no_imputation; preserve missing and flag,long_to_major_year_contract,"major-level GOMS context, not department-specific outcome"
D07,latest_2019_mean_income_10kkrw,Float32,context_feature,10k_krw,GOMS_024,no_imputation; preserve missing and flag,long_to_major_year_contract,"major-level GOMS context, not department-specific outcome"
D07,latest_2019_weekly_work_hours,Float32,context_feature,hours,GOMS_033,no_imputation; preserve missing and flag,long_to_major_year_contract,"major-level GOMS context, not department-specific outcome"
D07,latest_2019_firm_300plus_pct,Float32,context_feature,pct,GOMS_015,no_imputation; preserve missing and flag,long_to_major_year_contract,"major-level GOMS context, not department-specific outcome"
D07,latest_2019_permanent_pct,Float32,context_feature,pct,GOMS_021,no_imputation; preserve missing and flag,long_to_major_year_contract,"major-level GOMS context, not department-specific outcome"
D07,source_years_observed,Int16,qa_or_metadata,mixed,derived_or_metadata,not_null_expected,long_to_major_year_contract,"major-level GOMS context, not department-specific outcome"
D07,year_over_year_review_flag,boolean,qa_or_metadata,mixed,derived_or_metadata,not_null_expected,long_to_major_year_contract,"major-level GOMS context, not department-specific outcome"
D07,mapping_confidence,category,qa_or_metadata,mixed,derived_or_metadata,not_null_expected,long_to_major_year_contract,"major-level GOMS context, not department-specific outcome"
D07,row_qa_status,category,qa_or_metadata,mixed,derived_or_metadata,not_null_expected,long_to_major_year_contract,"major-level GOMS context, not department-specific outcome"
