dataset,column,dtype,p4_use,registry_reason,missing_n,strict_global_block_reason,strict_global_p4_use,manual_review_scope_decision,manual_review_note,manual_approved_p4_use
D08_v2,match_evidence,str,False,identifier_label_or_qa_metadata,0,,False,inherit_strict_global_policy,,False
D08_v2,candidate_headcount_row_ids,str,True,candidate_feature_or_context,0,,True,inherit_strict_global_policy,,True
D08_v2,candidate_preview,str,False,identifier_label_or_qa_metadata,0,,False,inherit_strict_global_policy,,False
D08_v2,campus_conflict_flag,bool,True,candidate_feature_or_context,0,,True,inherit_strict_global_policy,,True
D08_v2,degree_course_conflict_flag,bool,True,candidate_feature_or_context,0,,True,inherit_strict_global_policy,,True
D08_v2,major_conflict_flag,bool,True,candidate_feature_or_context,0,,True,inherit_strict_global_policy,,True
D08_v2,forbidden_modifier_conflict_flag,bool,True,candidate_feature_or_context,0,,True,inherit_strict_global_policy,,True
D08_v2,headcount_match_flag,bool,True,candidate_feature_or_context,0,,True,inherit_strict_global_policy,,True
D08_v2,headcount_grain_version,str,True,candidate_feature_or_context,1681,,True,inherit_strict_global_policy,,True
D08_v2,headcount_grain_uid,string,True,candidate_feature_or_context,1681,,True,inherit_strict_global_policy,,True
D08_v2,grain_resolution_method,str,True,candidate_feature_or_context,1681,,True,inherit_strict_global_policy,,True
D08_v2,grain_review_needed,boolean,False,identifier_label_or_qa_metadata,1681,,False,inherit_strict_global_policy,,False
D08_v2,raw_row_lineage,string,True,candidate_feature_or_context,1681,,True,inherit_strict_global_policy,,True
D08_v2,school_uid_y,string,True,candidate_feature_or_context,1681,,True,inherit_strict_global_policy,,True
D08_v2,campus_uid,string,True,candidate_feature_or_context,0,,True,inherit_strict_global_policy,,True
D08_v2,dept_uid,string,True,candidate_feature_or_context,0,,True,inherit_strict_global_policy,,True
D08_v2,kedi_dept_code,string,True,candidate_feature_or_context,1681,,True,inherit_strict_global_policy,,True
D08_v2,school_type,string,True,candidate_feature_or_context,1681,,True,inherit_strict_global_policy,,True
D08_v2,degree_course,string,True,candidate_feature_or_context,1681,,True,inherit_strict_global_policy,,True
D08_v2,school_status_raw,string,False,identifier_label_or_qa_metadata,1681,,False,inherit_strict_global_policy,,False
D08_v2,day_evening_raw,string,False,identifier_label_or_qa_metadata,1681,,False,inherit_strict_global_policy,,False
D08_v2,campus_name_raw_y,string,True,candidate_feature_or_context,1681,,True,inherit_strict_global_policy,,True
D08_v2,campus_name_std_y,string,True,candidate_feature_or_context,1681,,True,inherit_strict_global_policy,,True
D08_v2,region_sido,string,True,candidate_feature_or_context,1681,,True,inherit_strict_global_policy,,True
D08_v2,region_sigungu,string,True,candidate_feature_or_context,1681,,True,inherit_strict_global_policy,,True
D08_v2,hc_major_group_raw,string,False,identifier_label_or_qa_metadata,1681,,False,inherit_strict_global_policy,,False
D08_v2,hc_major_group_7,string,True,candidate_feature_or_context,1681,,True,inherit_strict_global_policy,,True
D08_v2,field_middle_name,string,True,candidate_feature_or_context,1681,,True,inherit_strict_global_policy,,True
D08_v2,field_small_name,string,True,candidate_feature_or_context,1681,,True,inherit_strict_global_policy,,True
D08_v2,admission_capacity_n,Int32,True,candidate_feature_or_context,1681,,True,inherit_strict_global_policy,,True
D08_v2,recruitment_n,Int32,True,candidate_feature_or_context,1681,,True,inherit_strict_global_policy,,True
D08_v2,applicants_n,Int32,True,candidate_feature_or_context,1681,,True,inherit_strict_global_policy,,True
D08_v2,admits_n,Int32,True,candidate_feature_or_context,1681,,True,inherit_strict_global_policy,,True
D08_v2,enrolled_students_n,Int32,True,candidate_feature_or_context,1681,,True,inherit_strict_global_policy,,True
D08_v2,leave_students_n,Int32,True,candidate_feature_or_context,1681,,True,inherit_strict_global_policy,,True
D08_v2,graduates_n,Int32,True,candidate_feature_or_context,1681,,True,inherit_strict_global_policy,,True
D08_v2,fulltime_faculty_n,Int32,True,candidate_feature_or_context,1681,,True,inherit_strict_global_policy,,True
D08_v2,nonfulltime_faculty_n,Int32,True,candidate_feature_or_context,1681,,True,inherit_strict_global_policy,,True
D08_v2,international_students_n,Int32,True,candidate_feature_or_context,1681,,True,inherit_strict_global_policy,,True
D08_v2,female_students_n,Int32,True,candidate_feature_or_context,1681,,True,inherit_strict_global_policy,,True
D08_v2,masters_students_n,Int32,True,candidate_feature_or_context,1681,,True,inherit_strict_global_policy,,True
D08_v2,doctoral_students_n,Int32,True,candidate_feature_or_context,1681,,True,inherit_strict_global_policy,,True
D08_v2,competition_ratio,Float32,True,candidate_feature_or_context,4985,,True,inherit_strict_global_policy,,True
D08_v2,admission_yield_ratio,Float32,True,candidate_feature_or_context,4985,,True,inherit_strict_global_policy,,True
D08_v2,admit_per_applicant_ratio,Float32,True,candidate_feature_or_context,4982,,True,inherit_strict_global_policy,,True
D08_v2,leave_rate_pct,Float32,True,candidate_feature_or_context,1801,,True,inherit_strict_global_policy,,True
D08_v2,female_student_share_pct,Float32,True,candidate_feature_or_context,1801,,True,inherit_strict_global_policy,,True
D08_v2,international_student_share_pct,Float32,True,candidate_feature_or_context,1801,,True,inherit_strict_global_policy,,True
D08_v2,student_faculty_ratio,Float32,True,candidate_feature_or_context,3863,,True,inherit_strict_global_policy,,True
D08_v2,fulltime_faculty_share_pct,Float32,True,candidate_feature_or_context,3863,,True,inherit_strict_global_policy,,True
D08_v2,log_enrolled_students,Float32,True,candidate_feature_or_context,1681,,True,inherit_strict_global_policy,,True
D08_v2,log_graduates,Float32,True,candidate_feature_or_context,1681,,True,inherit_strict_global_policy,,True
D08_v2,school_uid,object,True,candidate_feature_or_context,0,,True,inherit_strict_global_policy,,True
D08_v2,major_group_7,object,True,candidate_feature_or_context,143,,True,inherit_strict_global_policy,,True
D08_v2,major7_mapping_method,str,True,candidate_feature_or_context,0,,True,inherit_strict_global_policy,,True
D08_v2,major7_mapping_confidence,str,True,candidate_feature_or_context,0,,True,inherit_strict_global_policy,,True
D08_v2,major7_candidate_count,int64,True,candidate_feature_or_context,0,,True,inherit_strict_global_policy,,True
D08_v2,major7_review_needed,bool,False,identifier_label_or_qa_metadata,0,,False,inherit_strict_global_policy,,False
D08_v2,major7_evidence,str,False,identifier_label_or_qa_metadata,0,,False,inherit_strict_global_policy,,False
D08_v2,major7_sample_exclusion_rule,str,True,candidate_feature_or_context,0,,True,inherit_strict_global_policy,,True
D08_v2,has_structure_context,boolean,True,candidate_feature_or_context,0,,True,inherit_strict_global_policy,,True
D08_v2,has_major_group_7_high_medium,boolean,True,candidate_feature_or_context,0,,True,inherit_strict_global_policy,,True
D08_v2,row_qa_status,str,True,candidate_feature_or_context,0,,True,inherit_strict_global_policy,,True
D08_v2,ctx24_reference_sample_n,Float32,True,candidate_feature_or_context,143,,True,inherit_strict_global_policy,,True
D08_v2,ctx24_mean_income_10kkrw,Float32,True,candidate_feature_or_context,143,,True,inherit_strict_global_policy,,True
D08_v2,ctx24_median_income_10kkrw,Float32,True,candidate_feature_or_context,143,,True,inherit_strict_global_policy,,True
D08_v2,ctx24_income_300plus_pct,Float32,True,candidate_feature_or_context,143,,True,inherit_strict_global_policy,,True
D08_v2,ctx24_income_400plus_pct,Float32,True,candidate_feature_or_context,143,,True,inherit_strict_global_policy,,True
D08_v2,ctx24_large_company_pct,Float32,True,candidate_feature_or_context,143,,True,inherit_strict_global_policy,,True
D08_v2,ctx24_mid_company_pct,Float32,True,candidate_feature_or_context,143,,True,inherit_strict_global_policy,,True
D08_v2,ctx24_small_company_pct,Float32,True,candidate_feature_or_context,143,,True,inherit_strict_global_policy,,True
D08_v2,ctx24_large_mid_company_pct,Float32,True,candidate_feature_or_context,143,,True,inherit_strict_global_policy,,True
D08_v2,ctx24_public_nonprofit_pct,Float32,True,candidate_feature_or_context,143,,True,inherit_strict_global_policy,,True
D08_v2,ctx24_cert_rate_pct,Float32,True,candidate_feature_or_context,143,,True,inherit_strict_global_policy,,True
D08_v2,ctx24_cert_per_person,Float32,True,candidate_feature_or_context,143,,True,inherit_strict_global_policy,,True
D08_v2,ctx24_log10_mean_income,Float32,True,candidate_feature_or_context,143,,True,inherit_strict_global_policy,,True
D08_v2,ctx24_industry_top3_pct,Float32,False,all_null_source_unavailable,10242,all_null_source_unavailable,False,exclude_from_features_manual_all_null,manual review approved exclusion because D04/D08_v2 registry evidence is all-null,False
D08_v2,ctx24_industry_hhi,Float32,False,all_null_source_unavailable,10242,all_null_source_unavailable,False,exclude_from_features_manual_all_null,manual review approved exclusion because D04/D08_v2 registry evidence is all-null,False
D08_v2,goms_profile_start_year,Int16,True,candidate_feature_or_context,143,,True,inherit_strict_global_policy,,True
D08_v2,goms_profile_end_year,Int16,True,candidate_feature_or_context,143,,True,inherit_strict_global_policy,,True
D08_v2,goms_profile_years_n,Int16,True,candidate_feature_or_context,143,,True,inherit_strict_global_policy,,True
D08_v2,goms_aggregation_method,category,True,candidate_feature_or_context,143,,True,inherit_strict_global_policy,,True
D08_v2,goms_recent_employment_rate_pct,Float32,True,candidate_feature_or_context,143,,True,inherit_strict_global_policy,,True
D08_v2,goms_recent_firm_300plus_pct,Float32,True,candidate_feature_or_context,143,,True,inherit_strict_global_policy,,True
D08_v2,goms_recent_public_nonprofit_pct,Float32,True,candidate_feature_or_context,143,,True,inherit_strict_global_policy,,True
D08_v2,goms_recent_permanent_pct,Float32,True,candidate_feature_or_context,143,,True,inherit_strict_global_policy,,True
D08_v2,goms_recent_unstable_pct,Float32,True,candidate_feature_or_context,143,,True,inherit_strict_global_policy,,True
D08_v2,goms_recent_self_employed_pct,Float32,True,candidate_feature_or_context,143,,True,inherit_strict_global_policy,,True
D08_v2,goms_recent_industry_hhi,Float32,True,candidate_feature_or_context,143,,True,inherit_strict_global_policy,,True
D08_v2,goms_recent_industry_top3_pct,Float32,True,candidate_feature_or_context,143,,True,inherit_strict_global_policy,,True
D08_v2,goms_recent_professional_highskill_pct,Float32,True,candidate_feature_or_context,143,,True,inherit_strict_global_policy,,True
D08_v2,goms_recent_mean_income_10kkrw,Float32,True,candidate_feature_or_context,143,,True,inherit_strict_global_policy,,True
D08_v2,goms_recent_weekly_work_hours,Float32,True,candidate_feature_or_context,143,,True,inherit_strict_global_policy,,True
D08_v2,goms_recent_hourly_income_proxy,Float32,True,candidate_feature_or_context,143,,True,inherit_strict_global_policy,,True
D08_v2,goms_income_trend_per_year,Float32,True,candidate_feature_or_context,143,,True,inherit_strict_global_policy,,True
D08_v2,goms_hours_trend_per_year,Float32,True,candidate_feature_or_context,143,,True,inherit_strict_global_policy,,True
D08_v2,goms_firm_300plus_trend_per_year,Float32,True,candidate_feature_or_context,143,,True,inherit_strict_global_policy,,True
D08_v2,goms_permanent_trend_per_year,Float32,True,candidate_feature_or_context,143,,True,inherit_strict_global_policy,,True
D08_v2,goms_latest_2019_mean_income_10kkrw,Float32,True,candidate_feature_or_context,143,,True,inherit_strict_global_policy,,True
D08_v2,goms_latest_2019_weekly_work_hours,Float32,True,candidate_feature_or_context,143,,True,inherit_strict_global_policy,,True
D08_v2,goms_latest_2019_firm_300plus_pct,Float32,True,candidate_feature_or_context,143,,True,inherit_strict_global_policy,,True
D08_v2,goms_latest_2019_permanent_pct,Float32,True,candidate_feature_or_context,143,,True,inherit_strict_global_policy,,True
D08_v2,goms_source_years_observed,Int16,False,identifier_label_or_qa_metadata,143,,False,inherit_strict_global_policy,,False
D08_v2,goms_year_over_year_review_flag,boolean,False,identifier_label_or_qa_metadata,143,,False,inherit_strict_global_policy,,False
D08_v2,goms_mapping_confidence,category,True,candidate_feature_or_context,143,,True,inherit_strict_global_policy,,True
D08_v2,goms_row_qa_status,category,True,candidate_feature_or_context,143,,True,inherit_strict_global_policy,,True
D04,ctx24_reference_sample_n,Float32,True,ctx24_wage_reference_context,0,,True,inherit_strict_global_policy,,True
D04,ctx24_mean_income_10kkrw,Float32,True,ctx24_wage_reference_context,0,,True,inherit_strict_global_policy,,True
D04,ctx24_median_income_10kkrw,Float32,True,ctx24_wage_reference_context,0,,True,inherit_strict_global_policy,,True
D04,ctx24_income_300plus_pct,Float32,True,ctx24_wage_reference_context,0,,True,inherit_strict_global_policy,,True
D04,ctx24_income_400plus_pct,Float32,True,ctx24_wage_reference_context,0,,True,inherit_strict_global_policy,,True
D04,ctx24_large_company_pct,Float32,True,ctx24_wage_reference_context,0,,True,inherit_strict_global_policy,,True
D04,ctx24_mid_company_pct,Float32,True,ctx24_wage_reference_context,0,,True,inherit_strict_global_policy,,True
D04,ctx24_small_company_pct,Float32,True,ctx24_wage_reference_context,0,,True,inherit_strict_global_policy,,True
D04,ctx24_large_mid_company_pct,Float32,True,ctx24_wage_reference_context,0,,True,inherit_strict_global_policy,,True
D04,ctx24_public_nonprofit_pct,Float32,True,ctx24_wage_reference_context,0,,True,inherit_strict_global_policy,,True
D04,ctx24_cert_rate_pct,Float32,True,ctx24_wage_reference_context,0,,True,inherit_strict_global_policy,,True
D04,ctx24_cert_per_person,Float32,True,ctx24_wage_reference_context,0,,True,inherit_strict_global_policy,,True
D04,ctx24_log10_mean_income,Float32,True,ctx24_wage_reference_context,0,,True,inherit_strict_global_policy,,True
D04,ctx24_industry_top3_pct,Float32,False,all_null_source_unavailable,14,all_null_source_unavailable,False,exclude_from_features_manual_all_null,manual review approved exclusion because D04/D08_v2 registry evidence is all-null,False
D04,ctx24_industry_hhi,Float32,False,all_null_source_unavailable,14,all_null_source_unavailable,False,exclude_from_features_manual_all_null,manual review approved exclusion because D04/D08_v2 registry evidence is all-null,False
D05,직무분류,str,False,job_cert_bridge_direct_join_prohibited,0,job_cert_bridge_direct_join_prohibited,False,drop_D05_scope_manual_review,manual review approved D05 scope drop because job-cert data is job-axis and direct department join is prohibited,False
D05,job_cert_고등교육기관_건,float64,False,job_cert_bridge_direct_join_prohibited,0,job_cert_bridge_direct_join_prohibited,False,drop_D05_scope_manual_review,manual review approved D05 scope drop because job-cert data is job-axis and direct department join is prohibited,False
D05,job_cert_학부_건,float64,False,job_cert_bridge_direct_join_prohibited,0,job_cert_bridge_direct_join_prohibited,False,drop_D05_scope_manual_review,manual review approved D05 scope drop because job-cert data is job-axis and direct department join is prohibited,False
D05,job_cert_대학원_건,float64,False,job_cert_bridge_direct_join_prohibited,0,job_cert_bridge_direct_join_prohibited,False,drop_D05_scope_manual_review,manual review approved D05 scope drop because job-cert data is job-axis and direct department join is prohibited,False
D05,job_cert_직무비율_pct,float64,False,job_cert_bridge_direct_join_prohibited,0,job_cert_bridge_direct_join_prohibited,False,drop_D05_scope_manual_review,manual review approved D05 scope drop because job-cert data is job-axis and direct department join is prohibited,False
D05,job_cert_학부비율_pct,float64,False,job_cert_bridge_direct_join_prohibited,0,job_cert_bridge_direct_join_prohibited,False,drop_D05_scope_manual_review,manual review approved D05 scope drop because job-cert data is job-axis and direct department join is prohibited,False
D05,job_cert_대학원비율_pct,float64,False,job_cert_bridge_direct_join_prohibited,0,job_cert_bridge_direct_join_prohibited,False,drop_D05_scope_manual_review,manual review approved D05 scope drop because job-cert data is job-axis and direct department join is prohibited,False
D05,job_cert_학부대학원차이_건,float64,False,job_cert_bridge_direct_join_prohibited,0,job_cert_bridge_direct_join_prohibited,False,drop_D05_scope_manual_review,manual review approved D05 scope drop because job-cert data is job-axis and direct department join is prohibited,False
D05,job_cert_학부대학원차이_pctp,float64,False,job_cert_bridge_direct_join_prohibited,0,job_cert_bridge_direct_join_prohibited,False,drop_D05_scope_manual_review,manual review approved D05 scope drop because job-cert data is job-axis and direct department join is prohibited,False
D05,job_cert_대학원우세_flag,bool,False,job_cert_bridge_direct_join_prohibited,0,job_cert_bridge_direct_join_prohibited,False,drop_D05_scope_manual_review,manual review approved D05 scope drop because job-cert data is job-axis and direct department join is prohibited,False
D05,job_cert_is_total_row,boolean,False,job_cert_bridge_direct_join_prohibited,0,job_cert_bridge_direct_join_prohibited,False,drop_D05_scope_manual_review,manual review approved D05 scope drop because job-cert data is job-axis and direct department join is prohibited,False
D05,job_cert_source_unknown_flag,bool,False,job_cert_bridge_direct_join_prohibited,0,job_cert_bridge_direct_join_prohibited,False,drop_D05_scope_manual_review,manual review approved D05 scope drop because job-cert data is job-axis and direct department join is prohibited,False
D05,primary_industry_candidate,str,False,job_cert_bridge_direct_join_prohibited,0,job_cert_bridge_direct_join_prohibited,False,drop_D05_scope_manual_review,manual review approved D05 scope drop because job-cert data is job-axis and direct department join is prohibited,False
D05,industry_candidates,str,False,job_cert_bridge_direct_join_prohibited,0,job_cert_bridge_direct_join_prohibited,False,drop_D05_scope_manual_review,manual review approved D05 scope drop because job-cert data is job-axis and direct department join is prohibited,False
D05,mapping_type,str,False,job_cert_bridge_direct_join_prohibited,0,job_cert_bridge_direct_join_prohibited,False,drop_D05_scope_manual_review,manual review approved D05 scope drop because job-cert data is job-axis and direct department join is prohibited,False
D05,confidence,str,False,job_cert_bridge_direct_join_prohibited,0,job_cert_bridge_direct_join_prohibited,False,drop_D05_scope_manual_review,manual review approved D05 scope drop because job-cert data is job-axis and direct department join is prohibited,False
D05,review_needed,boolean,False,job_cert_bridge_direct_join_prohibited,0,job_cert_bridge_direct_join_prohibited,False,drop_D05_scope_manual_review,manual review approved D05 scope drop because job-cert data is job-axis and direct department join is prohibited,False
D05,join_now,bool,False,job_cert_bridge_direct_join_prohibited,0,job_cert_bridge_direct_join_prohibited,False,drop_D05_scope_manual_review,manual review approved D05 scope drop because job-cert data is job-axis and direct department join is prohibited,False
D05,mapping_missing_flag,boolean,False,job_cert_bridge_direct_join_prohibited,0,job_cert_bridge_direct_join_prohibited,False,drop_D05_scope_manual_review,manual review approved D05 scope drop because job-cert data is job-axis and direct department join is prohibited,False
D05,guide_match_dept_n,int64,False,job_cert_bridge_direct_join_prohibited,0,job_cert_bridge_direct_join_prohibited,False,drop_D05_scope_manual_review,manual review approved D05 scope drop because job-cert data is job-axis and direct department join is prohibited,False
D05,guide_match_school_sum,int64,False,job_cert_bridge_direct_join_prohibited,0,job_cert_bridge_direct_join_prohibited,False,drop_D05_scope_manual_review,manual review approved D05 scope drop because job-cert data is job-axis and direct department join is prohibited,False
D05,guide_match_student_sum,int64,False,job_cert_bridge_direct_join_prohibited,0,job_cert_bridge_direct_join_prohibited,False,drop_D05_scope_manual_review,manual review approved D05 scope drop because job-cert data is job-axis and direct department join is prohibited,False
D05,guide_match_top_departments,str,False,job_cert_bridge_direct_join_prohibited,0,job_cert_bridge_direct_join_prohibited,False,drop_D05_scope_manual_review,manual review approved D05 scope drop because job-cert data is job-axis and direct department join is prohibited,False
D05,guide_terms,str,False,job_cert_bridge_direct_join_prohibited,0,job_cert_bridge_direct_join_prohibited,False,drop_D05_scope_manual_review,manual review approved D05 scope drop because job-cert data is job-axis and direct department join is prohibited,False
D05,decision_note,str,False,job_cert_bridge_direct_join_prohibited,0,job_cert_bridge_direct_join_prohibited,False,drop_D05_scope_manual_review,manual review approved D05 scope drop because job-cert data is job-axis and direct department join is prohibited,False
D05,cleaning_policy,str,False,job_cert_bridge_direct_join_prohibited,0,job_cert_bridge_direct_join_prohibited,False,drop_D05_scope_manual_review,manual review approved D05 scope drop because job-cert data is job-axis and direct department join is prohibited,False
D05,job_group_raw,string,False,job_cert_bridge_direct_join_prohibited,0,job_cert_bridge_direct_join_prohibited,False,drop_D05_scope_manual_review,manual review approved D05 scope drop because job-cert data is job-axis and direct department join is prohibited,False
D05,is_total_row,boolean,False,job_cert_bridge_direct_join_prohibited,0,job_cert_bridge_direct_join_prohibited,False,drop_D05_scope_manual_review,manual review approved D05 scope drop because job-cert data is job-axis and direct department join is prohibited,False
D05,is_model_row,bool,False,job_cert_bridge_direct_join_prohibited,0,job_cert_bridge_direct_join_prohibited,False,drop_D05_scope_manual_review,manual review approved D05 scope drop because job-cert data is job-axis and direct department join is prohibited,False
D05,decision_reason,str,False,job_cert_bridge_direct_join_prohibited,0,job_cert_bridge_direct_join_prohibited,False,drop_D05_scope_manual_review,manual review approved D05 scope drop because job-cert data is job-axis and direct department join is prohibited,False
D05,source_file,str,False,job_cert_bridge_direct_join_prohibited,0,job_cert_bridge_direct_join_prohibited,False,drop_D05_scope_manual_review,manual review approved D05 scope drop because job-cert data is job-axis and direct department join is prohibited,False
D05,source_sha256,str,False,job_cert_bridge_direct_join_prohibited,0,job_cert_bridge_direct_join_prohibited,False,drop_D05_scope_manual_review,manual review approved D05 scope drop because job-cert data is job-axis and direct department join is prohibited,False
