outcome_row_id,school_uid,split,has_structure_context,has_major_group_7_high_medium,has_ctx24_context,has_goms_context,sample_GRADE_ALL,sample_GRADE_ALL_with_structure,sample_GRADE_SELECTIVITY,sample_GRADE_SELECTIVITY_with_structure,sample_EMPLOYMENT_HEALTH,sample_EMPLOYMENT_HEALTH_with_structure,sample_PROGRESSION_GRADSCHOOL,sample_PROGRESSION_GRADSCHOOL_with_structure,sample_JOINT_EMP_PROG,sample_JOINT_EMP_PROG_with_structure
OC2024_00021,SCH_e46f0f22fdd7,train,False,True,True,True,True,False,True,False,True,False,True,False,True,False
OC2024_00022,SCH_e46f0f22fdd7,train,True,True,True,True,True,True,False,False,False,False,False,False,False,False
OC2024_00023,SCH_e46f0f22fdd7,train,True,True,True,True,True,True,True,True,True,True,True,True,True,True
OC2024_00024,SCH_e46f0f22fdd7,train,True,True,True,True,True,True,False,False,True,True,True,True,True,True
OC2024_00025,SCH_e46f0f22fdd7,train,True,True,True,True,True,True,True,True,False,False,False,False,False,False
OC2024_00026,SCH_e46f0f22fdd7,train,True,True,True,True,True,True,True,True,True,True,True,True,True,True
OC2024_00027,SCH_e46f0f22fdd7,train,True,True,True,True,True,True,False,False,False,False,False,False,False,False
OC2024_00028,SCH_e46f0f22fdd7,train,True,True,True,True,True,True,True,True,False,False,False,False,False,False
OC2024_00029,SCH_e46f0f22fdd7,train,True,True,True,True,True,True,False,False,True,True,True,True,True,True
OC2024_00030,SCH_e46f0f22fdd7,train,False,True,True,True,True,False,False,False,False,False,False,False,False,False
OC2024_00031,SCH_e46f0f22fdd7,train,True,True,True,True,True,True,False,False,True,True,True,True,True,True
OC2024_00032,SCH_e46f0f22fdd7,train,True,True,True,True,True,True,True,True,False,False,False,False,False,False
OC2024_00033,SCH_e46f0f22fdd7,train,True,True,True,True,True,True,False,False,True,True,True,True,True,True
OC2024_00034,SCH_e46f0f22fdd7,train,True,True,True,True,True,True,False,False,True,True,True,True,True,True
OC2024_00035,SCH_e46f0f22fdd7,train,True,True,True,True,True,True,True,True,True,True,True,True,True,True
OC2024_00036,SCH_e46f0f22fdd7,train,True,True,True,True,True,True,True,True,True,True,True,True,True,True
OC2024_00037,SCH_e46f0f22fdd7,train,False,True,True,True,True,False,True,False,True,False,True,False,True,False
OC2024_00038,SCH_e46f0f22fdd7,train,True,True,True,True,True,True,False,False,True,True,True,True,True,True
OC2024_00039,SCH_e46f0f22fdd7,train,False,True,True,True,True,False,False,False,True,False,True,False,True,False
OC2024_00040,SCH_e46f0f22fdd7,train,True,True,True,True,True,True,True,True,True,True,True,True,True,True
OC2024_00041,SCH_e46f0f22fdd7,train,True,True,True,True,True,True,False,False,False,False,False,False,False,False
OC2024_00042,SCH_e46f0f22fdd7,train,True,True,True,True,True,True,False,False,False,False,False,False,False,False
OC2024_00043,SCH_e46f0f22fdd7,train,True,True,True,True,True,True,True,True,False,False,False,False,False,False
OC2024_00044,SCH_e46f0f22fdd7,train,False,True,True,True,True,False,False,False,False,False,False,False,False,False
OC2024_00045,SCH_e46f0f22fdd7,train,True,True,True,True,True,True,False,False,False,False,False,False,False,False
OC2024_00046,SCH_e46f0f22fdd7,train,True,True,True,True,True,True,True,True,True,True,True,True,True,True
OC2024_00047,SCH_e46f0f22fdd7,train,True,True,True,True,True,True,True,True,True,True,True,True,True,True
OC2024_00048,SCH_e46f0f22fdd7,train,True,True,True,True,True,True,True,True,True,True,True,True,True,True
OC2024_00049,SCH_e46f0f22fdd7,train,True,True,True,True,True,True,False,False,True,True,True,True,True,True
OC2024_00050,SCH_e46f0f22fdd7,train,True,True,True,True,True,True,True,True,True,True,True,True,True,True
OC2024_00051,SCH_e46f0f22fdd7,train,True,True,True,True,True,True,True,True,True,True,True,True,True,True
OC2024_00052,SCH_e46f0f22fdd7,train,True,True,True,True,True,True,True,True,False,False,False,False,False,False
OC2024_00053,SCH_e46f0f22fdd7,train,True,True,True,True,True,True,False,False,False,False,False,False,False,False
OC2024_00054,SCH_e46f0f22fdd7,train,False,True,True,True,True,False,True,False,False,False,False,False,False,False
OC2024_00055,SCH_e46f0f22fdd7,train,True,True,True,True,True,True,False,False,True,True,True,True,True,True
OC2024_00056,SCH_e46f0f22fdd7,train,True,True,True,True,True,True,True,True,True,True,True,True,True,True
OC2024_00057,SCH_e46f0f22fdd7,train,True,True,True,True,True,True,True,True,True,True,True,True,True,True
OC2024_00058,SCH_e46f0f22fdd7,train,True,True,True,True,True,True,False,False,True,True,True,True,True,True
OC2024_00059,SCH_e46f0f22fdd7,train,False,True,True,True,True,False,True,False,True,False,True,False,True,False
OC2024_00060,SCH_e46f0f22fdd7,train,False,True,True,True,True,False,True,False,True,False,True,False,True,False
OC2024_00061,SCH_e46f0f22fdd7,train,True,True,True,True,True,True,False,False,True,True,True,True,True,True
OC2024_00062,SCH_e46f0f22fdd7,train,True,True,True,True,True,True,False,False,True,True,True,True,True,True
OC2024_00063,SCH_e46f0f22fdd7,train,False,True,True,True,True,False,True,False,False,False,False,False,False,False
OC2024_00064,SCH_e46f0f22fdd7,train,True,True,True,True,True,True,False,False,True,True,True,True,True,True
OC2024_00065,SCH_e46f0f22fdd7,train,True,True,True,True,True,True,False,False,True,True,True,True,True,True
OC2024_00066,SCH_e46f0f22fdd7,train,True,True,True,True,True,True,True,True,True,True,True,True,True,True
OC2024_00067,SCH_e46f0f22fdd7,train,False,True,True,True,True,False,False,False,True,False,True,False,True,False
OC2024_00068,SCH_e46f0f22fdd7,train,True,True,True,True,True,True,True,True,True,True,True,True,True,True
OC2024_00069,SCH_e46f0f22fdd7,train,True,True,True,True,True,True,True,True,True,True,True,True,True,True
OC2024_00070,SCH_e46f0f22fdd7,train,True,True,True,True,True,True,False,False,True,True,True,True,True,True
OC2024_00071,SCH_e46f0f22fdd7,train,False,True,True,True,True,False,True,False,False,False,False,False,False,False
OC2024_00072,SCH_e46f0f22fdd7,train,True,True,True,True,True,True,False,False,True,True,True,True,True,True
OC2024_00073,SCH_e46f0f22fdd7,train,True,True,True,True,True,True,True,True,False,False,False,False,False,False
OC2024_00074,SCH_e46f0f22fdd7,train,True,True,True,True,True,True,True,True,False,False,False,False,False,False
OC2024_00075,SCH_e46f0f22fdd7,train,False,True,True,True,True,False,False,False,True,False,True,False,True,False
OC2024_00076,SCH_e46f0f22fdd7,train,True,True,True,True,True,True,True,True,True,True,True,True,True,True
OC2024_00077,SCH_e46f0f22fdd7,train,False,True,True,True,True,False,False,False,True,False,True,False,True,False
OC2024_00078,SCH_e46f0f22fdd7,train,True,True,True,True,True,True,False,False,True,True,True,True,True,True
OC2024_00079,SCH_e46f0f22fdd7,train,True,True,True,True,True,True,False,False,True,True,True,True,True,True
OC2024_00080,SCH_e46f0f22fdd7,train,False,True,True,True,True,False,True,False,True,False,True,False,True,False
OC2024_00081,SCH_e46f0f22fdd7,train,True,True,True,True,True,True,True,True,True,True,True,True,True,True
OC2024_00082,SCH_e46f0f22fdd7,train,False,True,True,True,True,False,False,False,True,False,True,False,True,False
OC2024_00083,SCH_e46f0f22fdd7,train,True,True,True,True,True,True,True,True,False,False,False,False,False,False
OC2024_00084,SCH_e46f0f22fdd7,train,True,True,True,True,True,True,True,True,True,True,True,True,True,True
OC2024_00085,SCH_e46f0f22fdd7,train,False,True,True,True,True,False,True,False,False,False,False,False,False,False
OC2024_00086,SCH_e46f0f22fdd7,train,True,True,True,True,True,True,True,True,True,True,True,True,True,True
OC2024_00087,SCH_e46f0f22fdd7,train,True,True,True,True,True,True,False,False,False,False,True,True,False,False
OC2024_00088,SCH_e46f0f22fdd7,train,True,True,True,True,True,True,False,False,True,True,True,True,True,True
OC2024_00089,SCH_e46f0f22fdd7,train,True,True,True,True,True,True,True,True,False,False,False,False,False,False
OC2024_00090,SCH_e46f0f22fdd7,train,True,True,True,True,True,True,True,True,True,True,True,True,True,True
OC2024_00091,SCH_e46f0f22fdd7,train,True,True,True,True,True,True,True,True,True,True,True,True,True,True
OC2024_00092,SCH_e46f0f22fdd7,train,False,True,True,True,True,False,False,False,True,False,True,False,True,False
OC2024_00093,SCH_e46f0f22fdd7,train,False,True,True,True,True,False,True,False,False,False,False,False,False,False
OC2024_00094,SCH_e46f0f22fdd7,train,True,True,True,True,True,True,False,False,False,False,False,False,False,False
OC2024_00095,SCH_f0a7062f14b7,test,False,True,True,True,True,False,False,False,True,False,True,False,True,False
OC2024_00096,SCH_f0a7062f14b7,test,True,True,True,True,True,True,False,False,True,True,True,True,True,True
OC2024_00097,SCH_f0a7062f14b7,test,True,True,True,True,True,True,False,False,True,True,True,True,True,True
OC2024_00098,SCH_f0a7062f14b7,test,True,True,True,True,True,True,False,False,True,True,True,True,True,True
OC2024_00099,SCH_f0a7062f14b7,test,True,True,True,True,True,True,False,False,True,True,True,True,True,True
OC2024_00100,SCH_f0a7062f14b7,test,True,True,True,True,True,True,False,False,True,True,True,True,True,True
OC2024_00101,SCH_f0a7062f14b7,test,True,True,True,True,True,True,True,True,False,False,False,False,False,False
OC2024_00102,SCH_f0a7062f14b7,test,True,True,True,True,True,True,False,False,False,False,False,False,False,False
OC2024_00103,SCH_f0a7062f14b7,test,True,True,True,True,True,True,False,False,True,True,True,True,True,True
OC2024_00104,SCH_f0a7062f14b7,test,True,True,True,True,True,True,False,False,True,True,True,True,True,True
OC2024_00105,SCH_f0a7062f14b7,test,True,True,True,True,True,True,False,False,False,False,False,False,False,False
OC2024_00106,SCH_f0a7062f14b7,test,True,True,True,True,True,True,False,False,True,True,True,True,True,True
OC2024_00107,SCH_f0a7062f14b7,test,False,True,True,True,True,False,False,False,True,False,True,False,True,False
OC2024_00108,SCH_f0a7062f14b7,test,True,True,True,True,True,True,False,False,False,False,False,False,False,False
OC2024_00109,SCH_f0a7062f14b7,test,True,True,True,True,True,True,False,False,True,True,True,True,True,True
OC2024_00110,SCH_f0a7062f14b7,test,True,True,True,True,True,True,False,False,False,False,False,False,False,False
OC2024_00111,SCH_f0a7062f14b7,test,True,True,True,True,True,True,False,False,False,False,False,False,False,False
OC2024_00112,SCH_f0a7062f14b7,test,True,True,True,True,True,True,False,False,False,False,False,False,False,False
OC2024_00113,SCH_f0a7062f14b7,test,True,True,True,True,True,True,False,False,True,True,True,True,True,True
OC2024_00114,SCH_f0a7062f14b7,test,True,True,True,True,True,True,False,False,False,False,False,False,False,False
OC2024_00115,SCH_f0a7062f14b7,test,True,True,True,True,True,True,False,False,True,True,True,True,True,True
OC2024_00116,SCH_f0a7062f14b7,test,True,True,True,True,True,True,False,False,False,False,False,False,False,False
OC2024_00117,SCH_f0a7062f14b7,test,False,True,True,True,True,False,False,False,True,False,True,False,True,False
OC2024_00118,SCH_f0a7062f14b7,test,True,True,True,True,True,True,False,False,False,False,False,False,False,False
OC2024_00119,SCH_f0a7062f14b7,test,True,True,True,True,True,True,False,False,True,True,True,True,True,True
OC2024_00120,SCH_f0a7062f14b7,test,True,True,True,True,True,True,False,False,True,True,True,True,True,True
OC2024_00121,SCH_f0a7062f14b7,test,True,True,True,True,True,True,False,False,False,False,False,False,False,False
OC2024_00122,SCH_f0a7062f14b7,test,False,True,True,True,True,False,False,False,True,False,True,False,True,False
OC2024_00123,SCH_f0a7062f14b7,test,True,True,True,True,True,True,False,False,True,True,True,True,True,True
OC2024_00124,SCH_f0a7062f14b7,test,True,True,True,True,True,True,False,False,True,True,True,True,True,True
OC2024_00125,SCH_f0a7062f14b7,test,True,True,True,True,True,True,False,False,False,False,False,False,False,False
OC2024_00126,SCH_f0a7062f14b7,test,True,True,True,True,True,True,False,False,False,False,False,False,False,False
OC2024_00127,SCH_f0a7062f14b7,test,True,True,True,True,True,True,False,False,False,False,False,False,False,False
OC2024_00128,SCH_f0a7062f14b7,test,True,True,True,True,True,True,False,False,True,True,True,True,True,True
OC2024_00129,SCH_f0a7062f14b7,test,True,True,True,True,True,True,False,False,False,False,False,False,False,False
OC2024_00130,SCH_f0a7062f14b7,test,True,True,True,True,True,True,False,False,True,True,True,True,True,True
OC2024_00131,SCH_f0a7062f14b7,test,True,True,True,True,True,True,False,False,False,False,False,False,False,False
OC2024_00132,SCH_f0a7062f14b7,test,True,True,True,True,True,True,False,False,False,False,False,False,False,False
OC2024_00133,SCH_f0a7062f14b7,test,False,True,True,True,True,False,False,False,True,False,True,False,True,False
OC2024_00134,SCH_f0a7062f14b7,test,False,True,True,True,True,False,False,False,True,False,True,False,True,False
OC2024_00135,SCH_f0a7062f14b7,test,True,True,True,True,True,True,False,False,False,False,False,False,False,False
OC2024_00136,SCH_f0a7062f14b7,test,True,True,True,True,True,True,False,False,True,True,True,True,True,True
OC2024_00137,SCH_f0a7062f14b7,test,True,True,True,True,True,True,False,False,True,True,True,True,True,True
OC2024_00138,SCH_f0a7062f14b7,test,True,True,True,True,True,True,False,False,False,False,False,False,False,False
OC2024_00139,SCH_f0a7062f14b7,test,True,True,True,True,True,True,False,False,True,True,True,True,True,True
OC2024_00140,SCH_f0a7062f14b7,test,True,True,True,True,True,True,False,False,False,False,False,False,False,False
OC2024_00141,SCH_f0a7062f14b7,test,False,True,True,True,True,False,True,False,True,False,True,False,True,False
OC2024_00142,SCH_f0a7062f14b7,test,True,True,True,True,True,True,False,False,True,True,True,True,True,True
OC2024_00143,SCH_f0a7062f14b7,test,True,True,True,True,True,True,False,False,True,True,True,True,True,True
OC2024_00144,SCH_f0a7062f14b7,test,True,True,True,True,True,True,False,False,False,False,False,False,False,False
OC2024_00145,SCH_f0a7062f14b7,test,True,True,True,True,True,True,False,False,True,True,True,True,True,True
OC2024_00146,SCH_f0a7062f14b7,test,True,True,True,True,True,True,False,False,True,True,True,True,True,True
OC2024_00147,SCH_f0a7062f14b7,test,True,True,True,True,True,True,False,False,True,True,True,True,True,True
OC2024_00148,SCH_f0a7062f14b7,test,True,True,True,True,True,True,False,False,False,False,False,False,False,False
OC2024_00149,SCH_f0a7062f14b7,test,True,True,True,True,True,True,False,False,True,True,True,True,True,True
OC2024_00150,SCH_f0a7062f14b7,test,False,True,True,True,True,False,False,False,False,False,False,False,False,False
OC2024_00151,SCH_f0a7062f14b7,test,False,True,True,True,True,False,False,False,True,False,True,False,True,False
OC2024_00152,SCH_f0a7062f14b7,test,False,True,True,True,True,False,False,False,True,False,True,False,True,False
OC2024_00153,SCH_f0a7062f14b7,test,True,True,True,True,True,True,False,False,False,False,False,False,False,False
OC2024_00154,SCH_f0a7062f14b7,test,True,True,True,True,True,True,False,False,True,True,True,True,True,True
OC2024_00155,SCH_f0a7062f14b7,test,True,True,True,True,True,True,False,False,True,True,True,True,True,True
OC2024_00156,SCH_f0a7062f14b7,test,True,True,True,True,True,True,False,False,True,True,True,True,True,True
OC2024_00157,SCH_f0a7062f14b7,test,False,True,True,True,True,False,False,False,True,False,True,False,True,False
OC2024_00158,SCH_f0a7062f14b7,test,True,True,True,True,True,True,False,False,True,True,True,True,True,True
OC2024_00159,SCH_f0a7062f14b7,test,True,True,True,True,True,True,False,False,True,True,True,True,True,True
OC2024_00160,SCH_f0a7062f14b7,test,False,True,True,True,True,False,False,False,True,False,True,False,True,False
OC2024_00161,SCH_f0a7062f14b7,test,True,True,True,True,True,True,False,False,True,True,True,True,True,True
OC2024_00162,SCH_f0a7062f14b7,test,False,True,True,True,True,False,False,False,False,False,False,False,False,False
OC2024_00163,SCH_f0a7062f14b7,test,True,True,True,True,True,True,False,False,True,True,True,True,True,True
OC2024_00164,SCH_f0a7062f14b7,test,False,True,True,True,True,False,False,False,False,False,False,False,False,False
OC2024_00165,SCH_f0a7062f14b7,test,False,True,True,True,True,False,False,False,True,False,True,False,True,False
OC2024_00166,SCH_f0a7062f14b7,test,False,True,True,True,True,False,False,False,True,False,True,False,True,False
OC2024_00167,SCH_f0a7062f14b7,test,True,True,True,True,True,True,False,False,True,True,True,True,True,True
OC2024_00168,SCH_f0a7062f14b7,test,True,True,True,True,True,True,False,False,False,False,False,False,False,False
OC2024_00169,SCH_f0a7062f14b7,test,True,True,True,True,True,True,False,False,False,False,False,False,False,False
OC2024_00170,SCH_f0a7062f14b7,test,True,True,True,True,True,True,False,False,False,False,False,False,False,False
OC2024_00171,SCH_f0a7062f14b7,test,True,True,True,True,True,True,False,False,False,False,False,False,False,False
OC2024_00172,SCH_f0a7062f14b7,test,True,True,True,True,True,True,False,False,False,False,False,False,False,False
OC2024_00173,SCH_f0a7062f14b7,test,True,True,True,True,True,True,False,False,False,False,False,False,False,False
OC2024_00174,SCH_f0a7062f14b7,test,True,True,True,True,True,True,False,False,True,True,True,True,True,True
OC2024_00175,SCH_11568cc95743,train,True,True,True,True,True,True,True,True,True,True,True,True,True,True
OC2024_00176,SCH_11568cc95743,train,False,True,True,True,True,False,False,False,True,False,True,False,True,False
OC2024_00177,SCH_11568cc95743,train,True,True,True,True,True,True,False,False,True,True,True,True,True,True
OC2024_00178,SCH_11568cc95743,train,True,True,True,True,True,True,False,False,True,True,True,True,True,True
OC2024_00179,SCH_11568cc95743,train,False,True,True,True,True,False,False,False,True,False,True,False,True,False
OC2024_00180,SCH_11568cc95743,train,False,True,True,True,True,False,False,False,False,False,False,False,False,False
OC2024_00181,SCH_f11056a7ff4e,val,False,True,True,True,True,False,False,False,False,False,False,False,False,False
OC2024_00182,SCH_f11056a7ff4e,val,True,True,True,True,True,True,False,False,True,True,True,True,True,True
OC2024_00183,SCH_f11056a7ff4e,val,True,True,True,True,True,True,False,False,True,True,True,True,True,True
OC2024_00184,SCH_f11056a7ff4e,val,False,True,True,True,True,False,False,False,True,False,True,False,True,False
OC2024_00185,SCH_f11056a7ff4e,val,True,True,True,True,True,True,False,False,True,True,True,True,True,True
OC2024_00186,SCH_f11056a7ff4e,val,True,True,True,True,True,True,True,True,True,True,True,True,True,True
OC2024_00187,SCH_f11056a7ff4e,val,True,True,True,True,True,True,False,False,True,True,True,True,True,True
OC2024_00188,SCH_f11056a7ff4e,val,True,True,True,True,True,True,False,False,False,False,False,False,False,False
OC2024_00189,SCH_f11056a7ff4e,val,True,True,True,True,True,True,False,False,False,False,False,False,False,False
OC2024_00190,SCH_f11056a7ff4e,val,True,True,True,True,True,True,False,False,True,True,True,True,True,True
OC2024_00191,SCH_f11056a7ff4e,val,False,True,True,True,True,False,False,False,True,False,True,False,True,False
OC2024_00192,SCH_f11056a7ff4e,val,True,True,True,True,True,True,False,False,False,False,False,False,False,False
OC2024_00193,SCH_f11056a7ff4e,val,True,True,True,True,True,True,False,False,True,True,True,True,True,True
OC2024_00194,SCH_f11056a7ff4e,val,True,True,True,True,True,True,False,False,True,True,True,True,True,True
OC2024_00195,SCH_f11056a7ff4e,val,True,True,True,True,True,True,False,False,True,True,True,True,True,True
OC2024_00196,SCH_f11056a7ff4e,val,True,True,True,True,True,True,False,False,True,True,True,True,True,True
OC2024_00197,SCH_f11056a7ff4e,val,False,True,True,True,True,False,False,False,True,False,True,False,True,False
OC2024_00198,SCH_f11056a7ff4e,val,True,True,True,True,True,True,False,False,False,False,False,False,False,False
OC2024_00199,SCH_f11056a7ff4e,val,True,True,True,True,True,True,False,False,True,True,True,True,True,True
OC2024_00200,SCH_f11056a7ff4e,val,True,True,True,True,True,True,False,False,True,True,True,True,True,True
OC2024_00201,SCH_f11056a7ff4e,val,False,True,True,True,True,False,False,False,True,False,True,False,True,False
OC2024_00202,SCH_f11056a7ff4e,val,True,True,True,True,True,True,False,False,True,True,True,True,True,True
OC2024_00203,SCH_f11056a7ff4e,val,True,True,True,True,True,True,False,False,True,True,True,True,True,True
OC2024_00204,SCH_f11056a7ff4e,val,True,True,True,True,True,True,False,False,True,True,True,True,True,True
OC2024_00205,SCH_f11056a7ff4e,val,True,True,True,True,True,True,False,False,True,True,True,True,True,True
OC2024_00206,SCH_f11056a7ff4e,val,True,True,True,True,True,True,False,False,True,True,True,True,True,True
OC2024_00207,SCH_f11056a7ff4e,val,True,True,True,True,True,True,False,False,True,True,True,True,True,True
OC2024_00208,SCH_f11056a7ff4e,val,True,True,True,True,True,True,False,False,True,True,True,True,True,True
OC2024_00209,SCH_f11056a7ff4e,val,True,True,True,True,True,True,False,False,False,False,False,False,False,False
OC2024_00210,SCH_f11056a7ff4e,val,False,True,True,True,True,False,False,False,True,False,True,False,True,False
OC2024_00211,SCH_f11056a7ff4e,val,True,True,True,True,True,True,False,False,True,True,True,True,True,True
OC2024_00212,SCH_f11056a7ff4e,val,True,True,True,True,True,True,False,False,True,True,True,True,True,True
OC2024_00213,SCH_f11056a7ff4e,val,True,True,True,True,True,True,False,False,True,True,True,True,True,True
OC2024_00214,SCH_f11056a7ff4e,val,True,True,True,True,True,True,False,False,True,True,True,True,True,True
OC2024_00215,SCH_f11056a7ff4e,val,True,True,True,True,True,True,False,False,True,True,True,True,True,True
OC2024_00216,SCH_f11056a7ff4e,val,True,True,True,True,True,True,False,False,True,True,True,True,True,True
OC2024_00217,SCH_f11056a7ff4e,val,False,True,True,True,True,False,False,False,True,False,True,False,True,False
OC2024_00218,SCH_f11056a7ff4e,val,True,True,True,True,True,True,False,False,True,True,True,True,True,True
OC2024_00219,SCH_f11056a7ff4e,val,True,True,True,True,True,True,False,False,True,True,True,True,True,True
OC2024_00220,SCH_f11056a7ff4e,val,True,True,True,True,True,True,False,False,True,True,True,True,True,True
OC2024_00221,SCH_f11056a7ff4e,val,True,True,True,True,True,True,False,False,True,True,True,True,True,True
OC2024_00222,SCH_f11056a7ff4e,val,True,True,True,True,True,True,False,False,True,True,True,True,True,True
OC2024_00223,SCH_f11056a7ff4e,val,True,True,True,True,True,True,False,False,False,False,False,False,False,False
OC2024_00224,SCH_f11056a7ff4e,val,True,True,True,True,True,True,False,False,False,False,True,True,False,False
OC2024_00225,SCH_4d63e54767c6,train,True,True,True,True,True,True,True,True,False,False,True,True,False,False
OC2024_00226,SCH_974bcc3d229d,train,True,True,True,True,True,True,False,False,False,False,False,False,False,False
OC2024_00227,SCH_974bcc3d229d,train,True,True,True,True,True,True,True,True,False,False,False,False,False,False
OC2024_00228,SCH_974bcc3d229d,train,True,True,True,True,True,True,False,False,True,True,True,True,True,True
OC2024_00229,SCH_974bcc3d229d,train,True,True,True,True,True,True,False,False,True,True,True,True,True,True
OC2024_00230,SCH_974bcc3d229d,train,True,True,True,True,True,True,False,False,True,True,True,True,True,True
OC2024_00231,SCH_974bcc3d229d,train,True,True,True,True,True,True,True,True,True,True,True,True,True,True
OC2024_00232,SCH_974bcc3d229d,train,True,True,True,True,True,True,False,False,True,True,True,True,True,True
OC2024_00233,SCH_974bcc3d229d,train,True,True,True,True,True,True,True,True,True,True,True,True,True,True
OC2024_00234,SCH_974bcc3d229d,train,False,True,True,True,True,False,True,False,False,False,False,False,False,False
OC2024_00235,SCH_974bcc3d229d,train,True,True,True,True,True,True,False,False,True,True,True,True,True,True
OC2024_00236,SCH_974bcc3d229d,train,True,True,True,True,True,True,False,False,True,True,True,True,True,True
OC2024_00237,SCH_974bcc3d229d,train,True,True,True,True,True,True,False,False,True,True,True,True,True,True
OC2024_00238,SCH_974bcc3d229d,train,True,True,True,True,True,True,False,False,True,True,True,True,True,True
OC2024_00239,SCH_974bcc3d229d,train,False,True,True,True,True,False,True,False,True,False,True,False,True,False
OC2024_00240,SCH_974bcc3d229d,train,True,True,True,True,True,True,True,True,True,True,True,True,True,True
OC2024_00241,SCH_974bcc3d229d,train,True,True,True,True,True,True,False,False,True,True,True,True,True,True
OC2024_00242,SCH_974bcc3d229d,train,True,True,True,True,True,True,False,False,True,True,True,True,True,True
OC2024_00243,SCH_974bcc3d229d,train,True,True,True,True,True,True,True,True,False,False,False,False,False,False
OC2024_00244,SCH_974bcc3d229d,train,True,True,True,True,True,True,True,True,True,True,True,True,True,True
OC2024_00245,SCH_974bcc3d229d,train,True,True,True,True,True,True,False,False,False,False,False,False,False,False
OC2024_00246,SCH_974bcc3d229d,train,True,True,True,True,True,True,False,False,False,False,False,False,False,False
OC2024_00247,SCH_974bcc3d229d,train,True,True,True,True,True,True,False,False,False,False,False,False,False,False
OC2024_00248,SCH_974bcc3d229d,train,True,True,True,True,True,True,True,True,False,False,False,False,False,False
OC2024_00249,SCH_974bcc3d229d,train,True,True,True,True,True,True,True,True,True,True,True,True,True,True
OC2024_00250,SCH_974bcc3d229d,train,True,True,True,True,True,True,False,False,False,False,False,False,False,False
OC2024_00251,SCH_974bcc3d229d,train,True,True,True,True,True,True,False,False,True,True,True,True,True,True
OC2024_00252,SCH_974bcc3d229d,train,True,True,True,True,True,True,True,True,False,False,False,False,False,False
OC2024_00253,SCH_974bcc3d229d,train,True,True,True,True,True,True,True,True,False,False,False,False,False,False
OC2024_00254,SCH_974bcc3d229d,train,True,True,True,True,True,True,True,True,True,True,True,True,True,True
OC2024_00255,SCH_974bcc3d229d,train,True,True,True,True,True,True,True,True,True,True,True,True,True,True
OC2024_00256,SCH_974bcc3d229d,train,True,True,True,True,True,True,False,False,True,True,True,True,True,True
OC2024_00257,SCH_bfb4ffe4d1d0,train,False,True,True,True,True,False,False,False,False,False,False,False,False,False
OC2024_00258,SCH_bfb4ffe4d1d0,train,True,True,True,True,True,True,True,True,True,True,True,True,True,True
