audit_type,flag,group_col,group_value,n,observed_rate,feature,smd,median_diff,ks_statistic,cramers_v,abs_smd,observed_rate_num,n_num,ks_num,cramers_num,human_missingness_decision,impute_or_exclude_policy,sample_restriction_needed,reviewer_note
categorical_cramers_v,has_progression,,,,,major_group_7,,,,0.1575056305286837,,,,,0.1575056305286837,,,,
categorical_cramers_v,has_progression,,,,,region_sido,,,,0.1381961643892802,,,,,0.1381961643892802,,,,
group_observation_rate,structural_match_eligible,major_group_7,,143.0,0.0,,,,,,,0.0,143.0,,,,,,
group_observation_rate,structural_match_eligible,region_sido,강원,497.0,1.0,,,,,,,1.0,497.0,,,,,,
group_observation_rate,structural_match_eligible,region_sido,경기,1081.0,1.0,,,,,,,1.0,1081.0,,,,,,
group_observation_rate,structural_match_eligible,region_sido,경남,413.0,1.0,,,,,,,1.0,413.0,,,,,,
group_observation_rate,structural_match_eligible,region_sido,경북,687.0,1.0,,,,,,,1.0,687.0,,,,,,
group_observation_rate,structural_match_eligible,region_sido,광주,361.0,1.0,,,,,,,1.0,361.0,,,,,,
group_observation_rate,structural_match_eligible,region_sido,대구,219.0,1.0,,,,,,,1.0,219.0,,,,,,
group_observation_rate,structural_match_eligible,region_sido,대전,489.0,1.0,,,,,,,1.0,489.0,,,,,,
group_observation_rate,structural_match_eligible,region_sido,부산,895.0,1.0,,,,,,,1.0,895.0,,,,,,
group_observation_rate,structural_match_eligible,region_sido,서울,1629.0,1.0,,,,,,,1.0,1629.0,,,,,,
group_observation_rate,structural_match_eligible,region_sido,울산,92.0,1.0,,,,,,,1.0,92.0,,,,,,
group_observation_rate,structural_match_eligible,region_sido,인천,199.0,1.0,,,,,,,1.0,199.0,,,,,,
group_observation_rate,structural_match_eligible,region_sido,전남,245.0,1.0,,,,,,,1.0,245.0,,,,,,
group_observation_rate,structural_match_eligible,region_sido,전북,413.0,1.0,,,,,,,1.0,413.0,,,,,,
group_observation_rate,structural_match_eligible,region_sido,제주,105.0,1.0,,,,,,,1.0,105.0,,,,,,
group_observation_rate,structural_match_eligible,region_sido,충남,702.0,1.0,,,,,,,1.0,702.0,,,,,,
group_observation_rate,structural_match_eligible,region_sido,충북,533.0,1.0,,,,,,,1.0,533.0,,,,,,
group_observation_rate,structural_match_eligible,region_sido,,1681.0,0.0,,,,,,,0.0,1681.0,,,,,,
group_observation_rate,structural_match_eligible,school_type,각종대학(대학),29.0,1.0,,,,,,,1.0,29.0,,,,,,
group_observation_rate,structural_match_eligible,school_type,교육대학,123.0,1.0,,,,,,,1.0,123.0,,,,,,
group_observation_rate,structural_match_eligible,school_type,대학교,8324.0,1.0,,,,,,,1.0,8324.0,,,,,,
group_observation_rate,structural_match_eligible,school_type,방송통신대학교,27.0,1.0,,,,,,,1.0,27.0,,,,,,
group_observation_rate,structural_match_eligible,school_type,산업대학,58.0,1.0,,,,,,,1.0,58.0,,,,,,
group_observation_rate,structural_match_eligible,school_type,,1681.0,0.0,,,,,,,0.0,1681.0,,,,,,
group_observation_rate,structural_match_eligible,degree_course,대학과정,8561.0,1.0,,,,,,,1.0,8561.0,,,,,,
group_observation_rate,structural_match_eligible,degree_course,,1681.0,0.0,,,,,,,0.0,1681.0,,,,,,
numeric_observed_vs_unobserved,structural_match_eligible,,,,,candidate_count,-0.553968217385755,-1.0,0.534637326813366,,0.553968217385755,,,0.534637326813366,,,,,
numeric_observed_vs_unobserved,structural_match_eligible,,,,,campus_conflict_flag,-0.5707894602774168,0.0,0.1401792991035045,,0.5707894602774168,,,0.1401792991035045,,,,,
numeric_observed_vs_unobserved,structural_match_eligible,,,,,headcount_match_flag,,1.0,1.0,,,,,1.0,,,,,
categorical_cramers_v,structural_match_eligible,,,,,major_group_7,,,,0.2906448894417508,,,,,0.2906448894417508,,,,
categorical_cramers_v,structural_match_eligible,,,,,region_sido,,,,1.0,,,,,1.0,,,,
categorical_cramers_v,structural_match_eligible,,,,,school_type,,,,1.0,,,,,1.0,,,,
categorical_cramers_v,structural_match_eligible,,,,,degree_course,,,,1.0,,,,,1.0,,,,
group_observation_rate,major_context_eligible,major_group_7,ART,1566.0,1.0,,,,,,,1.0,1566.0,,,,,,
group_observation_rate,major_context_eligible,major_group_7,EDU,728.0,1.0,,,,,,,1.0,728.0,,,,,,
group_observation_rate,major_context_eligible,major_group_7,ENG,2642.0,1.0,,,,,,,1.0,2642.0,,,,,,
group_observation_rate,major_context_eligible,major_group_7,HUM,1108.0,1.0,,,,,,,1.0,1108.0,,,,,,
group_observation_rate,major_context_eligible,major_group_7,MED,632.0,1.0,,,,,,,1.0,632.0,,,,,,
group_observation_rate,major_context_eligible,major_group_7,NAT,1258.0,1.0,,,,,,,1.0,1258.0,,,,,,
group_observation_rate,major_context_eligible,major_group_7,SOC,2165.0,1.0,,,,,,,1.0,2165.0,,,,,,
group_observation_rate,major_context_eligible,major_group_7,,143.0,0.0,,,,,,,0.0,143.0,,,,,,
group_observation_rate,major_context_eligible,region_sido,강원,497.0,1.0,,,,,,,1.0,497.0,,,,,,
group_observation_rate,major_context_eligible,region_sido,경기,1081.0,1.0,,,,,,,1.0,1081.0,,,,,,
group_observation_rate,major_context_eligible,region_sido,경남,413.0,1.0,,,,,,,1.0,413.0,,,,,,
group_observation_rate,major_context_eligible,region_sido,경북,687.0,1.0,,,,,,,1.0,687.0,,,,,,
group_observation_rate,major_context_eligible,region_sido,광주,361.0,1.0,,,,,,,1.0,361.0,,,,,,
group_observation_rate,major_context_eligible,region_sido,대구,219.0,1.0,,,,,,,1.0,219.0,,,,,,
group_observation_rate,major_context_eligible,region_sido,대전,489.0,1.0,,,,,,,1.0,489.0,,,,,,
group_observation_rate,major_context_eligible,region_sido,부산,895.0,1.0,,,,,,,1.0,895.0,,,,,,
group_observation_rate,major_context_eligible,region_sido,서울,1629.0,1.0,,,,,,,1.0,1629.0,,,,,,
group_observation_rate,major_context_eligible,region_sido,울산,92.0,1.0,,,,,,,1.0,92.0,,,,,,
group_observation_rate,major_context_eligible,region_sido,인천,199.0,1.0,,,,,,,1.0,199.0,,,,,,
group_observation_rate,major_context_eligible,region_sido,전남,245.0,1.0,,,,,,,1.0,245.0,,,,,,
group_observation_rate,major_context_eligible,region_sido,전북,413.0,1.0,,,,,,,1.0,413.0,,,,,,
group_observation_rate,major_context_eligible,region_sido,제주,105.0,1.0,,,,,,,1.0,105.0,,,,,,
group_observation_rate,major_context_eligible,region_sido,충남,702.0,1.0,,,,,,,1.0,702.0,,,,,,
group_observation_rate,major_context_eligible,region_sido,충북,533.0,1.0,,,,,,,1.0,533.0,,,,,,
group_observation_rate,major_context_eligible,school_type,각종대학(대학),29.0,1.0,,,,,,,1.0,29.0,,,,,,
group_observation_rate,major_context_eligible,school_type,교육대학,123.0,1.0,,,,,,,1.0,123.0,,,,,,
group_observation_rate,major_context_eligible,school_type,대학교,8324.0,1.0,,,,,,,1.0,8324.0,,,,,,
group_observation_rate,major_context_eligible,school_type,방송통신대학교,27.0,1.0,,,,,,,1.0,27.0,,,,,,
group_observation_rate,major_context_eligible,school_type,산업대학,58.0,1.0,,,,,,,1.0,58.0,,,,,,
group_observation_rate,major_context_eligible,degree_course,대학과정,8561.0,1.0,,,,,,,1.0,8561.0,,,,,,
group_observation_rate,major_context_eligible,split,test,1199.0,0.9824854045037532,,,,,,,0.9824854045037532,1199.0,,,,,,
group_observation_rate,major_context_eligible,split,train,7529.0,0.985124186478948,,,,,,,0.985124186478948,7529.0,,,,,,
group_observation_rate,major_context_eligible,split,validation,1514.0,0.9933949801849404,,,,,,,0.9933949801849404,1514.0,,,,,,
numeric_observed_vs_unobserved,major_context_eligible,,,,,candidate_count,-0.9937302080410862,-2.0,0.7907040293534159,,0.9937302080410862,,,0.7907040293534159,,,,,
numeric_observed_vs_unobserved,major_context_eligible,,,,,campus_conflict_flag,-0.5230373667660475,0.0,0.1490145707737052,,0.5230373667660475,,,0.1490145707737052,,,,,
numeric_observed_vs_unobserved,major_context_eligible,,,,,headcount_match_flag,3.3619208502385325,1.0,0.8496696777672914,,3.3619208502385325,,,0.8496696777672914,,,,,
categorical_cramers_v,major_context_eligible,,,,,major_group_7,,,,1.0,,,,,1.0,,,,
categorical_cramers_v,major_context_eligible,,,,,region_sido,,,,0.2685389116421286,,,,,0.2685389116421286,,,,
categorical_cramers_v,major_context_eligible,,,,,school_type,,,,0.2685389116421285,,,,,0.2685389116421285,,,,
categorical_cramers_v,major_context_eligible,,,,,degree_course,,,,0.2685389116421285,,,,,0.2685389116421285,,,,
