연도,학제,대학원구분,학교명,학교상태,본분교,시도,시군구,설립,주야구분,주소,우편번호,전화번호,팩스번호,홈페이지,학위과정,대계열,중계열,소계열,학과코드,학과명,학과수_전체,학과수_석사,학과수_박사,입학정원_학부_계,정원내_입학정원_학부,정원외_입학정원_학부,모집인원_학부_계,정원내_모집인원_학부,정원외_모집정원_학부,지원자_전체_계,지원자_전체_남,지원자_전체_여,지원자_석사_계,지원자_석사_남,지원자_석사_여,지원자_박사_계,지원자_박사_남,지원자_박사_여,입학자_전체_계,입학자_전체_남,입학자_전체_여,입학자_석사_계,입학자_석사_남,입학자_석사_여,입학자_박사_계,입학자_박사_남,입학자_박사_여,정원내_입학자_전체_계,정원내_입학자_전체_남,정원내_입학자_전체_여,정원내_입학자_학부_계,정원내_입학자_학부_남,정원내_입학자_학부_여,정원내_입학자_석사_계,정원내_입학자_석사_남,정원내_입학자_석사_여,정원내_입학자_박사_계,정원내_입학자_박사_남,정원내_입학자_박사_여,정원외_입학자_전체_계,정원외_입학자_전체_남,정원외_입학자_전체_여,정원외_입학자_석사_계,정원외_입학자_석사_남,정원외_입학자_석사_여,정원외_입학자_박사_계,정원외_입학자_박사_남,정원외_입학자_박사_여,재적생_전체_계,재적생_전체_남,재적생_전체_여,재학생_전체_계,재학생_전체_남,재학생_전체_여,휴학생_전체_계,휴학생_전체_남,휴학생_전체_여,유예생_전체_계,유예생_전체_남,유예생_전체_여,재적생_석사_계,재적생_석사_남,재적생_석사_여,재학생_석사_계,재학생_석사_남,재학생_석사_여,휴학생_석사_계,휴학생_석사_남,휴학생_석사_여,재적생_박사_계,재적생_박사_남,재적생_박사_여,재학생_박사_계,재학생_박사_남,재학생_박사_여,휴학생_박사_계,휴학생_박사_남,휴학생_박사_여,외국인유학생_총계_계,외국인유학생_총계_남,외국인유학생_총계_여,외국인유학생_학사_계,외국인유학생_학사_남,외국인유학생_학사_여,외국인유학생_석사_계,외국인유학생_석사_남,외국인유학생_석사_여,외국인유학생_박사_계,외국인유학생_박사_남,외국인유학생_박사_여,졸업자_전체,졸업자_남,졸업자_전체_여,졸업자_석사_계,졸업자_석사_남,졸업자_석사_여,졸업자_박사_계,졸업자_박사_남,졸업자_박사_여,전임교원_계,전임교원_남,전임교원_여,비전임교원_계,비전임교원_남,비전임교원_여
2024,대학교,,국립강릉원주대학교,학교명변경,본교(제1캠퍼스),강원,강원 강릉시,국립,주간,"강원도 강릉시 죽헌길 7 (지변동, 강릉원주대학교)",25457,033-640-7001,033-643-7110,www.gwnu.ac.kr,대학과정,사회계열,경영ㆍ경제,경제학,U02010200014,경제학과,1,0,0,23,23,0,24,23,1,123,92,31,0,0,0,0,0,0,26,22,4,0,0,0,0,0,0,23,19,4,23,19,4,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,172,125,47,123,83,40,46,41,5,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,3,4,1,3,0,0,0,0,0,0,28,20,8,0,0,0,0,0,0,5,4,1,2,2,0
2024,대학교,,국립강릉원주대학교,학교명변경,본교(제1캠퍼스),강원,강원 강릉시,국립,주간,"강원도 강릉시 죽헌길 7 (지변동, 강릉원주대학교)",25457,033-640-7001,033-643-7110,www.gwnu.ac.kr,대학과정,사회계열,경영ㆍ경제,금융ㆍ회계ㆍ세무학,U02010500054,회계학과,1,0,0,34,34,0,34,34,0,143,84,59,0,0,0,0,0,0,34,21,13,0,0,0,0,0,0,34,21,13,34,21,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202,116,86,136,71,65,65,45,20,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,4,15,0,0,0,0,0,0,6,4,2,2,1,1
2024,대학교,,국립강릉원주대학교,학교명변경,본교(제1캠퍼스),강원,강원 강릉시,국립,주간,"강원도 강릉시 죽헌길 7 (지변동, 강릉원주대학교)",25457,033-640-7001,033-643-7110,www.gwnu.ac.kr,대학과정,사회계열,경영ㆍ경제,무역ㆍ유통학,U02010600024,국제통상학과,1,0,0,36,36,0,39,36,3,152,96,56,0,0,0,0,0,0,40,26,14,0,0,0,0,0,0,36,25,11,36,25,11,0,0,0,0,0,0,4,1,3,0,0,0,0,0,0,204,120,84,149,73,76,54,47,7,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,11,26,37,11,26,0,0,0,0,0,0,38,16,22,0,0,0,0,0,0,6,6,0,4,4,0
2024,대학교,,국립강릉원주대학교,학교명변경,본교(제1캠퍼스),강원,강원 강릉시,국립,주간,"강원도 강릉시 죽헌길 7 (지변동, 강릉원주대학교)",25457,033-640-7001,033-643-7110,www.gwnu.ac.kr,대학과정,사회계열,경영ㆍ경제,무역ㆍ유통학,U02010600031,무역학과,1,0,0,27,27,0,28,27,1,108,67,41,0,0,0,0,0,0,30,20,10,0,0,0,0,0,0,27,19,8,27,19,8,0,0,0,0,0,0,3,1,2,0,0,0,0,0,0,199,117,82,152,83,69,46,34,12,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,11,32,43,11,32,0,0,0,0,0,0,41,25,16,0,0,0,0,0,0,2,1,1,4,4,0
2024,대학교,,국립강릉원주대학교,학교명변경,본교(제1캠퍼스),강원,강원 강릉시,국립,주간,"강원도 강릉시 죽헌길 7 (지변동, 강릉원주대학교)",25457,033-640-7001,033-643-7110,www.gwnu.ac.kr,대학과정,사회계열,법률,법학,U02020100024,법학과,1,0,0,28,28,0,28,28,0,100,45,55,0,0,0,0,0,0,29,11,18,0,0,0,0,0,0,28,10,18,28,10,18,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,191,112,79,122,64,58,66,47,19,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,18,20,0,0,0,0,0,0,4,4,0,4,3,1
2024,대학교,,국립강릉원주대학교,학교명변경,본교(제1캠퍼스),강원,강원 강릉시,국립,주간,"강원도 강릉시 죽헌길 7 (지변동, 강릉원주대학교)",25457,033-640-7001,033-643-7110,www.gwnu.ac.kr,대학과정,사회계열,사회과학,도시ㆍ지역학,U02030300062,도시계획?부동산학과,1,0,0,35,35,0,35,35,0,157,116,41,0,0,0,0,0,0,35,25,10,0,0,0,0,0,0,35,25,10,35,25,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192,145,47,136,92,44,55,52,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,29,18,11,0,0,0,0,0,0,5,5,0,6,4,2
2024,대학교,,국립강릉원주대학교,학교명변경,본교(제1캠퍼스),강원,강원 강릉시,국립,주간,"강원도 강릉시 죽헌길 7 (지변동, 강릉원주대학교)",25457,033-640-7001,033-643-7110,www.gwnu.ac.kr,대학과정,사회계열,사회과학,행정학,U02030700049,자치행정학과,1,0,0,31,31,0,31,31,0,131,78,53,0,0,0,0,0,0,34,24,10,0,0,0,0,0,0,30,23,7,30,23,7,0,0,0,0,0,0,4,1,3,0,0,0,0,0,0,200,121,79,139,75,64,55,45,10,6,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,16,18,0,0,0,0,0,0,5,3,2,4,4,0
2024,대학교,,국립강릉원주대학교,학교명변경,본교(제1캠퍼스),강원,강원 강릉시,국립,주간,"강원도 강릉시 죽헌길 7 (지변동, 강릉원주대학교)",25457,033-640-7001,033-643-7110,www.gwnu.ac.kr,대학과정,교육계열,교육일반,교육학,U03010100059,교직과정부,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2,33,9,24
2024,대학교,,국립강릉원주대학교,학교명변경,본교(제1캠퍼스),강원,강원 강릉시,국립,주간,"강원도 강릉시 죽헌길 7 (지변동, 강릉원주대학교)",25457,033-640-7001,033-643-7110,www.gwnu.ac.kr,대학과정,공학계열,토목ㆍ도시,토목공학,U04020100022,건설환경공학과,1,0,0,37,37,0,39,37,2,202,176,26,0,0,0,0,0,0,39,36,3,0,0,0,0,0,0,37,34,3,37,34,3,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,245,234,11,149,142,7,95,91,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,35,5,0,0,0,0,0,0,8,8,0,6,5,1
2024,대학교,,국립강릉원주대학교,학교명변경,본교(제1캠퍼스),강원,강원 강릉시,국립,주간,"강원도 강릉시 죽헌길 7 (지변동, 강릉원주대학교)",25457,033-640-7001,033-643-7110,www.gwnu.ac.kr,대학과정,공학계열,토목ㆍ도시,토목공학,U04020100047,토목공학과,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,대학교,,국립강릉원주대학교,학교명변경,본교(제1캠퍼스),강원,강원 강릉시,국립,주간,"강원도 강릉시 죽헌길 7 (지변동, 강릉원주대학교)",25457,033-640-7001,033-643-7110,www.gwnu.ac.kr,대학과정,공학계열,전기ㆍ전자,전자공학,U04050200028,전자공학과,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,66,12,0,0,0,0,0,0,0,0,0,0,0,0
2024,대학교,,국립강릉원주대학교,학교명변경,본교(제1캠퍼스),강원,강원 강릉시,국립,주간,"강원도 강릉시 죽헌길 7 (지변동, 강릉원주대학교)",25457,033-640-7001,033-643-7110,www.gwnu.ac.kr,대학과정,공학계열,전기ㆍ전자,전자공학,U04050200230,전자?반도체공학부,1,0,0,80,80,0,81,80,1,314,269,45,0,0,0,0,0,0,86,73,13,0,0,0,0,0,0,80,70,10,80,70,10,0,0,0,0,0,0,6,3,3,0,0,0,0,0,0,85,72,13,85,72,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,0,2,2,0
2024,대학교,,국립강릉원주대학교,학교명변경,본교(제1캠퍼스),강원,강원 강릉시,국립,주간,"강원도 강릉시 죽헌길 7 (지변동, 강릉원주대학교)",25457,033-640-7001,033-643-7110,www.gwnu.ac.kr,대학과정,공학계열,전기ㆍ전자,전자공학,U04050200234,전자?반도체공학부(전자공학전공),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,385,358,27,212,190,22,163,159,4,10,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,대학교,,국립강릉원주대학교,학교명변경,본교(제1캠퍼스),강원,강원 강릉시,국립,주간,"강원도 강릉시 죽헌길 7 (지변동, 강릉원주대학교)",25457,033-640-7001,033-643-7110,www.gwnu.ac.kr,대학과정,공학계열,소재ㆍ재료,반도체ㆍ세라믹공학,U04070100104,세라믹신소재공학전공,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,93,13,54,43,11,49,49,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,대학교,,국립강릉원주대학교,학교명변경,본교(제1캠퍼스),강원,강원 강릉시,국립,주간,"강원도 강릉시 죽헌길 7 (지변동, 강릉원주대학교)",25457,033-640-7001,033-643-7110,www.gwnu.ac.kr,대학과정,공학계열,소재ㆍ재료,신소재공학,U04070300036,화학신소재학과,1,0,0,33,33,0,33,33,0,117,72,45,0,0,0,0,0,0,34,18,16,0,0,0,0,0,0,33,17,16,33,17,16,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,149,96,53,106,62,44,43,34,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,19,17,0,0,0,0,0,0,7,5,2,5,4,1
2024,대학교,,국립강릉원주대학교,학교명변경,본교(제1캠퍼스),강원,강원 강릉시,국립,주간,"강원도 강릉시 죽헌길 7 (지변동, 강릉원주대학교)",25457,033-640-7001,033-643-7110,www.gwnu.ac.kr,대학과정,공학계열,소재ㆍ재료,신소재공학,U04070300099,신소재금속공학과,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,21,4,0,0,0,0,0,0,0,0,0,0,0,0
2024,대학교,,국립강릉원주대학교,학교명변경,본교(제1캠퍼스),강원,강원 강릉시,국립,주간,"강원도 강릉시 죽헌길 7 (지변동, 강릉원주대학교)",25457,033-640-7001,033-643-7110,www.gwnu.ac.kr,대학과정,공학계열,소재ㆍ재료,신소재공학,U04070300100,세라믹신소재공학과,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,15,2,0,0,0,0,0,0,0,0,0,0,0,0
2024,대학교,,국립강릉원주대학교,학교명변경,본교(제1캠퍼스),강원,강원 강릉시,국립,주간,"강원도 강릉시 죽헌길 7 (지변동, 강릉원주대학교)",25457,033-640-7001,033-643-7110,www.gwnu.ac.kr,대학과정,공학계열,소재ㆍ재료,신소재공학,U04070300169,신소재?생명화학공학부,1,0,0,85,85,0,85,85,0,329,212,117,0,0,0,0,0,0,85,51,34,0,0,0,0,0,0,83,50,33,83,50,33,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,83,49,34,83,49,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,18,0,6,6,0
2024,대학교,,국립강릉원주대학교,학교명변경,본교(제1캠퍼스),강원,강원 강릉시,국립,주간,"강원도 강릉시 죽헌길 7 (지변동, 강릉원주대학교)",25457,033-640-7001,033-643-7110,www.gwnu.ac.kr,대학과정,공학계열,소재ㆍ재료,신소재공학,U04070300172,신소재금속공학전공,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,108,12,70,59,11,47,46,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,대학교,,국립강릉원주대학교,학교명변경,본교(제1캠퍼스),강원,강원 강릉시,국립,주간,"강원도 강릉시 죽헌길 7 (지변동, 강릉원주대학교)",25457,033-640-7001,033-643-7110,www.gwnu.ac.kr,대학과정,공학계열,컴퓨터ㆍ통신,정보ㆍ통신공학,U04080300518,데이터사이언스학과,1,0,0,23,23,0,23,23,0,96,71,25,0,0,0,0,0,0,23,18,5,0,0,0,0,0,0,22,17,5,22,17,5,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,130,104,26,83,62,21,43,41,2,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,12,3,0,0,0,0,0,0,4,4,0,5,5,0
