column_order,column,role,dtype,non_null_n,missing_n,missing_pct,unique_n,sample_values
62,정원외_입학자_전체_남,measure,int64,35431,0,0.0,108,0 | 2 | 1 | 3 | 8
63,정원외_입학자_전체_여,measure,int64,35431,0,0.0,123,2 | 0 | 3 | 1 | 7
64,정원외_입학자_석사_계,measure,int64,35431,0,0.0,107,0 | 3 | 7 | 2 | 1
65,정원외_입학자_석사_남,measure,int64,35431,0,0.0,66,0 | 2 | 1 | 4 | 3
66,정원외_입학자_석사_여,measure,int64,35431,0,0.0,73,0 | 1 | 7 | 5 | 2
67,정원외_입학자_박사_계,measure,int64,35431,0,0.0,53,0 | 1 | 6 | 2 | 4
68,정원외_입학자_박사_남,measure,int64,35431,0,0.0,35,0 | 1 | 6 | 2 | 3
69,정원외_입학자_박사_여,measure,int64,35431,0,0.0,36,0 | 1 | 2 | 3 | 30
70,재적생_전체_계,measure,int64,35431,0,0.0,987,152 | 109 | 162 | 39 | 115
71,재적생_전체_남,measure,int64,35431,0,0.0,713,62 | 47 | 76 | 26 | 91
72,재적생_전체_여,measure,int64,35431,0,0.0,634,90 | 62 | 86 | 13 | 24
73,재학생_전체_계,measure,int64,35431,0,0.0,830,113 | 80 | 112 | 19 | 106
74,재학생_전체_남,measure,int64,35431,0,0.0,547,36 | 35 | 44 | 10 | 56
75,재학생_전체_여,measure,int64,35431,0,0.0,595,77 | 45 | 68 | 9 | 24
76,휴학생_전체_계,measure,int64,35431,0,0.0,391,39 | 26 | 48 | 17 | 35
77,휴학생_전체_남,measure,int64,35431,0,0.0,331,26 | 11 | 32 | 15 | 35
78,휴학생_전체_여,measure,int64,35431,0,0.0,177,13 | 15 | 16 | 2 | 0
79,유예생_전체_계,measure,int64,35431,0,0.0,65,0 | 3 | 2 | 1 | 6
80,유예생_전체_남,measure,int64,35431,0,0.0,41,0 | 1 | 9 | 3 | 2
81,유예생_전체_여,measure,int64,35431,0,0.0,53,0 | 2 | 1 | 5 | 3
82,재적생_석사_계,measure,int64,35431,0,0.0,280,0 | 7 | 1 | 9 | 12
83,재적생_석사_남,measure,int64,35431,0,0.0,182,0 | 2 | 1 | 3 | 5
84,재적생_석사_여,measure,int64,35431,0,0.0,194,0 | 5 | 6 | 10 | 1
85,재학생_석사_계,measure,int64,35431,0,0.0,262,0 | 7 | 1 | 9 | 12
86,재학생_석사_남,measure,int64,35431,0,0.0,171,0 | 2 | 1 | 3 | 5
87,재학생_석사_여,measure,int64,35431,0,0.0,178,0 | 5 | 6 | 10 | 1
88,휴학생_석사_계,measure,int64,35431,0,0.0,79,0 | 1 | 3 | 2 | 7
89,휴학생_석사_남,measure,int64,35431,0,0.0,53,0 | 1 | 3 | 2 | 5
90,휴학생_석사_여,measure,int64,35431,0,0.0,48,0 | 1 | 2 | 5 | 3
91,재적생_박사_계,measure,int64,35431,0,0.0,178,0 | 2 | 1 | 8 | 3
92,재적생_박사_남,measure,int64,35431,0,0.0,131,0 | 1 | 2 | 4 | 3
93,재적생_박사_여,measure,int64,35431,0,0.0,100,0 | 1 | 6 | 10 | 2
94,재학생_박사_계,measure,int64,35431,0,0.0,174,0 | 2 | 1 | 8 | 3
95,재학생_박사_남,measure,int64,35431,0,0.0,124,0 | 1 | 2 | 4 | 3
96,재학생_박사_여,measure,int64,35431,0,0.0,96,0 | 1 | 6 | 10 | 2
97,휴학생_박사_계,measure,int64,35431,0,0.0,47,0 | 1 | 9 | 3 | 2
98,휴학생_박사_남,measure,int64,35431,0,0.0,33,0 | 1 | 9 | 3 | 2
99,휴학생_박사_여,measure,int64,35431,0,0.0,32,0 | 1 | 2 | 4 | 6
100,외국인유학생_총계_계,measure,int64,35431,0,0.0,247,7 | 0 | 6 | 9 | 20
101,외국인유학생_총계_남,measure,int64,35431,0,0.0,160,1 | 0 | 8 | 11 | 3
102,외국인유학생_총계_여,measure,int64,35431,0,0.0,176,6 | 0 | 8 | 12 | 3
103,외국인유학생_학사_계,measure,int64,35431,0,0.0,221,7 | 0 | 6 | 9 | 20
104,외국인유학생_학사_남,measure,int64,35431,0,0.0,144,1 | 0 | 8 | 11 | 3
105,외국인유학생_학사_여,measure,int64,35431,0,0.0,157,6 | 0 | 8 | 12 | 3
106,외국인유학생_석사_계,measure,int64,35431,0,0.0,128,0 | 5 | 10 | 7 | 1
107,외국인유학생_석사_남,measure,int64,35431,0,0.0,81,0 | 2 | 1 | 3 | 6
108,외국인유학생_석사_여,measure,int64,35431,0,0.0,99,0 | 3 | 9 | 5 | 1
109,외국인유학생_박사_계,measure,int64,35431,0,0.0,89,0 | 1 | 5 | 3 | 2
110,외국인유학생_박사_남,measure,int64,35431,0,0.0,56,0 | 2 | 1 | 11 | 12
111,외국인유학생_박사_여,measure,int64,35431,0,0.0,61,0 | 1 | 3 | 2 | 5
112,졸업자_전체,measure,int64,35431,0,0.0,323,25 | 18 | 21 | 10 | 17
113,졸업자_남,measure,int64,35431,0,0.0,217,11 | 6 | 8 | 10 | 18
114,졸업자_전체_여,measure,int64,35431,0,0.0,244,14 | 12 | 13 | 4 | 7
115,졸업자_석사_계,measure,int64,35431,0,0.0,142,0 | 1 | 2 | 4 | 8
116,졸업자_석사_남,measure,int64,35431,0,0.0,95,0 | 1 | 2 | 4 | 3
117,졸업자_석사_여,measure,int64,35431,0,0.0,96,0 | 1 | 2 | 4 | 5
118,졸업자_박사_계,measure,int64,35431,0,0.0,69,0 | 1 | 7 | 3 | 2
119,졸업자_박사_남,measure,int64,35431,0,0.0,49,0 | 1 | 3 | 2 | 4
120,졸업자_박사_여,measure,int64,35431,0,0.0,38,0 | 4 | 2 | 1 | 3
121,전임교원_계,measure,int64,35431,0,0.0,119,5 | 1 | 4 | 3 | 0
122,전임교원_남,measure,int64,35431,0,0.0,100,2 | 4 | 3 | 1 | 0
123,전임교원_여,measure,int64,35431,0,0.0,69,3 | 1 | 2 | 0 | 4
124,비전임교원_계,measure,int64,35431,0,0.0,154,15 | 1 | 6 | 5 | 7
125,비전임교원_남,measure,int64,35431,0,0.0,112,10 | 0 | 5 | 4 | 6
126,비전임교원_여,measure,int64,35431,0,0.0,97,5 | 1 | 2 | 3 | 0
