column_order,column,semantic_type,category_behavior,zero_policy,null_policy
17,대계열,taxonomy_category,"분류 범주: 실제 학과 행에서는 값 필요, 소속학과없음 행은 구조적 placeholder",해당없음,"실제 학과 행이면 값 필요, 소속학과없음 placeholder의 NULL은 구조적"
18,중계열,taxonomy_category,"분류 범주: 실제 학과 행에서는 값 필요, 소속학과없음 행은 구조적 placeholder",해당없음,"실제 학과 행이면 값 필요, 소속학과없음 placeholder의 NULL은 구조적"
19,소계열,taxonomy_category,"분류 범주: 실제 학과 행에서는 값 필요, 소속학과없음 행은 구조적 placeholder",해당없음,"실제 학과 행이면 값 필요, 소속학과없음 placeholder의 NULL은 구조적"
20,학과코드,entity_identifier,식별자: 키 구성과 중복 점검에 필요,해당없음,NULL이면 값 누락 여부 확인
21,학과명,entity_identifier,식별자: 키 구성과 중복 점검에 필요,해당없음,NULL이면 값 누락 여부 확인
22,학과수_전체,department_count,집계형 수치: 0은 없음/미발생으로 유지,0 유지: 집계값의 실제 0으로 해석,"NULL이면 데이터 품질 문제, 0은 유효값"
23,학과수_석사,department_count,집계형 수치: 0은 없음/미발생으로 유지,0 유지: 집계값의 실제 0으로 해석,"NULL이면 데이터 품질 문제, 0은 유효값"
24,학과수_박사,department_count,집계형 수치: 0은 없음/미발생으로 유지,0 유지: 집계값의 실제 0으로 해석,"NULL이면 데이터 품질 문제, 0은 유효값"
25,입학정원_학부_계,competitive_admission_count,경쟁형 수치: 정원-모집-지원-입학 흐름에서 0도 의미 있는 관측값,0 유지: 미모집/미지원/미입학 가능성이 있으므로 NULL로 바꾸지 않음,"NULL이면 데이터 품질 문제, 0은 유효값"
26,정원내_입학정원_학부,competitive_admission_count,경쟁형 수치: 정원-모집-지원-입학 흐름에서 0도 의미 있는 관측값,0 유지: 미모집/미지원/미입학 가능성이 있으므로 NULL로 바꾸지 않음,"NULL이면 데이터 품질 문제, 0은 유효값"
27,정원외_입학정원_학부,competitive_admission_count,경쟁형 수치: 정원-모집-지원-입학 흐름에서 0도 의미 있는 관측값,0 유지: 미모집/미지원/미입학 가능성이 있으므로 NULL로 바꾸지 않음,"NULL이면 데이터 품질 문제, 0은 유효값"
28,모집인원_학부_계,competitive_admission_count,경쟁형 수치: 정원-모집-지원-입학 흐름에서 0도 의미 있는 관측값,0 유지: 미모집/미지원/미입학 가능성이 있으므로 NULL로 바꾸지 않음,"NULL이면 데이터 품질 문제, 0은 유효값"
29,정원내_모집인원_학부,competitive_admission_count,경쟁형 수치: 정원-모집-지원-입학 흐름에서 0도 의미 있는 관측값,0 유지: 미모집/미지원/미입학 가능성이 있으므로 NULL로 바꾸지 않음,"NULL이면 데이터 품질 문제, 0은 유효값"
30,정원외_모집정원_학부,numeric_measure,집계형 수치: 0은 없음/미발생으로 유지,0 유지: 집계값의 실제 0으로 해석,"NULL이면 데이터 품질 문제, 0은 유효값"
31,지원자_전체_계,competitive_admission_count,경쟁형 수치: 정원-모집-지원-입학 흐름에서 0도 의미 있는 관측값,0 유지: 미모집/미지원/미입학 가능성이 있으므로 NULL로 바꾸지 않음,"NULL이면 데이터 품질 문제, 0은 유효값"
32,지원자_전체_남,competitive_admission_count,경쟁형 수치: 정원-모집-지원-입학 흐름에서 0도 의미 있는 관측값,0 유지: 미모집/미지원/미입학 가능성이 있으므로 NULL로 바꾸지 않음,"NULL이면 데이터 품질 문제, 0은 유효값"
33,지원자_전체_여,competitive_admission_count,경쟁형 수치: 정원-모집-지원-입학 흐름에서 0도 의미 있는 관측값,0 유지: 미모집/미지원/미입학 가능성이 있으므로 NULL로 바꾸지 않음,"NULL이면 데이터 품질 문제, 0은 유효값"
34,지원자_석사_계,competitive_admission_count,경쟁형 수치: 정원-모집-지원-입학 흐름에서 0도 의미 있는 관측값,0 유지: 미모집/미지원/미입학 가능성이 있으므로 NULL로 바꾸지 않음,"NULL이면 데이터 품질 문제, 0은 유효값"
35,지원자_석사_남,competitive_admission_count,경쟁형 수치: 정원-모집-지원-입학 흐름에서 0도 의미 있는 관측값,0 유지: 미모집/미지원/미입학 가능성이 있으므로 NULL로 바꾸지 않음,"NULL이면 데이터 품질 문제, 0은 유효값"
36,지원자_석사_여,competitive_admission_count,경쟁형 수치: 정원-모집-지원-입학 흐름에서 0도 의미 있는 관측값,0 유지: 미모집/미지원/미입학 가능성이 있으므로 NULL로 바꾸지 않음,"NULL이면 데이터 품질 문제, 0은 유효값"
37,지원자_박사_계,competitive_admission_count,경쟁형 수치: 정원-모집-지원-입학 흐름에서 0도 의미 있는 관측값,0 유지: 미모집/미지원/미입학 가능성이 있으므로 NULL로 바꾸지 않음,"NULL이면 데이터 품질 문제, 0은 유효값"
38,지원자_박사_남,competitive_admission_count,경쟁형 수치: 정원-모집-지원-입학 흐름에서 0도 의미 있는 관측값,0 유지: 미모집/미지원/미입학 가능성이 있으므로 NULL로 바꾸지 않음,"NULL이면 데이터 품질 문제, 0은 유효값"
39,지원자_박사_여,competitive_admission_count,경쟁형 수치: 정원-모집-지원-입학 흐름에서 0도 의미 있는 관측값,0 유지: 미모집/미지원/미입학 가능성이 있으므로 NULL로 바꾸지 않음,"NULL이면 데이터 품질 문제, 0은 유효값"
40,입학자_전체_계,competitive_admission_count,경쟁형 수치: 정원-모집-지원-입학 흐름에서 0도 의미 있는 관측값,0 유지: 미모집/미지원/미입학 가능성이 있으므로 NULL로 바꾸지 않음,"NULL이면 데이터 품질 문제, 0은 유효값"
41,입학자_전체_남,competitive_admission_count,경쟁형 수치: 정원-모집-지원-입학 흐름에서 0도 의미 있는 관측값,0 유지: 미모집/미지원/미입학 가능성이 있으므로 NULL로 바꾸지 않음,"NULL이면 데이터 품질 문제, 0은 유효값"
42,입학자_전체_여,competitive_admission_count,경쟁형 수치: 정원-모집-지원-입학 흐름에서 0도 의미 있는 관측값,0 유지: 미모집/미지원/미입학 가능성이 있으므로 NULL로 바꾸지 않음,"NULL이면 데이터 품질 문제, 0은 유효값"
43,입학자_석사_계,competitive_admission_count,경쟁형 수치: 정원-모집-지원-입학 흐름에서 0도 의미 있는 관측값,0 유지: 미모집/미지원/미입학 가능성이 있으므로 NULL로 바꾸지 않음,"NULL이면 데이터 품질 문제, 0은 유효값"
44,입학자_석사_남,competitive_admission_count,경쟁형 수치: 정원-모집-지원-입학 흐름에서 0도 의미 있는 관측값,0 유지: 미모집/미지원/미입학 가능성이 있으므로 NULL로 바꾸지 않음,"NULL이면 데이터 품질 문제, 0은 유효값"
45,입학자_석사_여,competitive_admission_count,경쟁형 수치: 정원-모집-지원-입학 흐름에서 0도 의미 있는 관측값,0 유지: 미모집/미지원/미입학 가능성이 있으므로 NULL로 바꾸지 않음,"NULL이면 데이터 품질 문제, 0은 유효값"
46,입학자_박사_계,competitive_admission_count,경쟁형 수치: 정원-모집-지원-입학 흐름에서 0도 의미 있는 관측값,0 유지: 미모집/미지원/미입학 가능성이 있으므로 NULL로 바꾸지 않음,"NULL이면 데이터 품질 문제, 0은 유효값"
47,입학자_박사_남,competitive_admission_count,경쟁형 수치: 정원-모집-지원-입학 흐름에서 0도 의미 있는 관측값,0 유지: 미모집/미지원/미입학 가능성이 있으므로 NULL로 바꾸지 않음,"NULL이면 데이터 품질 문제, 0은 유효값"
48,입학자_박사_여,competitive_admission_count,경쟁형 수치: 정원-모집-지원-입학 흐름에서 0도 의미 있는 관측값,0 유지: 미모집/미지원/미입학 가능성이 있으므로 NULL로 바꾸지 않음,"NULL이면 데이터 품질 문제, 0은 유효값"
49,정원내_입학자_전체_계,competitive_admission_count,경쟁형 수치: 정원-모집-지원-입학 흐름에서 0도 의미 있는 관측값,0 유지: 미모집/미지원/미입학 가능성이 있으므로 NULL로 바꾸지 않음,"NULL이면 데이터 품질 문제, 0은 유효값"
50,정원내_입학자_전체_남,competitive_admission_count,경쟁형 수치: 정원-모집-지원-입학 흐름에서 0도 의미 있는 관측값,0 유지: 미모집/미지원/미입학 가능성이 있으므로 NULL로 바꾸지 않음,"NULL이면 데이터 품질 문제, 0은 유효값"
51,정원내_입학자_전체_여,competitive_admission_count,경쟁형 수치: 정원-모집-지원-입학 흐름에서 0도 의미 있는 관측값,0 유지: 미모집/미지원/미입학 가능성이 있으므로 NULL로 바꾸지 않음,"NULL이면 데이터 품질 문제, 0은 유효값"
52,정원내_입학자_학부_계,competitive_admission_count,경쟁형 수치: 정원-모집-지원-입학 흐름에서 0도 의미 있는 관측값,0 유지: 미모집/미지원/미입학 가능성이 있으므로 NULL로 바꾸지 않음,"NULL이면 데이터 품질 문제, 0은 유효값"
53,정원내_입학자_학부_남,competitive_admission_count,경쟁형 수치: 정원-모집-지원-입학 흐름에서 0도 의미 있는 관측값,0 유지: 미모집/미지원/미입학 가능성이 있으므로 NULL로 바꾸지 않음,"NULL이면 데이터 품질 문제, 0은 유효값"
54,정원내_입학자_학부_여,competitive_admission_count,경쟁형 수치: 정원-모집-지원-입학 흐름에서 0도 의미 있는 관측값,0 유지: 미모집/미지원/미입학 가능성이 있으므로 NULL로 바꾸지 않음,"NULL이면 데이터 품질 문제, 0은 유효값"
55,정원내_입학자_석사_계,competitive_admission_count,경쟁형 수치: 정원-모집-지원-입학 흐름에서 0도 의미 있는 관측값,0 유지: 미모집/미지원/미입학 가능성이 있으므로 NULL로 바꾸지 않음,"NULL이면 데이터 품질 문제, 0은 유효값"
56,정원내_입학자_석사_남,competitive_admission_count,경쟁형 수치: 정원-모집-지원-입학 흐름에서 0도 의미 있는 관측값,0 유지: 미모집/미지원/미입학 가능성이 있으므로 NULL로 바꾸지 않음,"NULL이면 데이터 품질 문제, 0은 유효값"
57,정원내_입학자_석사_여,competitive_admission_count,경쟁형 수치: 정원-모집-지원-입학 흐름에서 0도 의미 있는 관측값,0 유지: 미모집/미지원/미입학 가능성이 있으므로 NULL로 바꾸지 않음,"NULL이면 데이터 품질 문제, 0은 유효값"
58,정원내_입학자_박사_계,competitive_admission_count,경쟁형 수치: 정원-모집-지원-입학 흐름에서 0도 의미 있는 관측값,0 유지: 미모집/미지원/미입학 가능성이 있으므로 NULL로 바꾸지 않음,"NULL이면 데이터 품질 문제, 0은 유효값"
59,정원내_입학자_박사_남,competitive_admission_count,경쟁형 수치: 정원-모집-지원-입학 흐름에서 0도 의미 있는 관측값,0 유지: 미모집/미지원/미입학 가능성이 있으므로 NULL로 바꾸지 않음,"NULL이면 데이터 품질 문제, 0은 유효값"
60,정원내_입학자_박사_여,competitive_admission_count,경쟁형 수치: 정원-모집-지원-입학 흐름에서 0도 의미 있는 관측값,0 유지: 미모집/미지원/미입학 가능성이 있으므로 NULL로 바꾸지 않음,"NULL이면 데이터 품질 문제, 0은 유효값"
61,정원외_입학자_전체_계,competitive_admission_count,경쟁형 수치: 정원-모집-지원-입학 흐름에서 0도 의미 있는 관측값,0 유지: 미모집/미지원/미입학 가능성이 있으므로 NULL로 바꾸지 않음,"NULL이면 데이터 품질 문제, 0은 유효값"
62,정원외_입학자_전체_남,competitive_admission_count,경쟁형 수치: 정원-모집-지원-입학 흐름에서 0도 의미 있는 관측값,0 유지: 미모집/미지원/미입학 가능성이 있으므로 NULL로 바꾸지 않음,"NULL이면 데이터 품질 문제, 0은 유효값"
63,정원외_입학자_전체_여,competitive_admission_count,경쟁형 수치: 정원-모집-지원-입학 흐름에서 0도 의미 있는 관측값,0 유지: 미모집/미지원/미입학 가능성이 있으므로 NULL로 바꾸지 않음,"NULL이면 데이터 품질 문제, 0은 유효값"
64,정원외_입학자_석사_계,competitive_admission_count,경쟁형 수치: 정원-모집-지원-입학 흐름에서 0도 의미 있는 관측값,0 유지: 미모집/미지원/미입학 가능성이 있으므로 NULL로 바꾸지 않음,"NULL이면 데이터 품질 문제, 0은 유효값"
65,정원외_입학자_석사_남,competitive_admission_count,경쟁형 수치: 정원-모집-지원-입학 흐름에서 0도 의미 있는 관측값,0 유지: 미모집/미지원/미입학 가능성이 있으므로 NULL로 바꾸지 않음,"NULL이면 데이터 품질 문제, 0은 유효값"
66,정원외_입학자_석사_여,competitive_admission_count,경쟁형 수치: 정원-모집-지원-입학 흐름에서 0도 의미 있는 관측값,0 유지: 미모집/미지원/미입학 가능성이 있으므로 NULL로 바꾸지 않음,"NULL이면 데이터 품질 문제, 0은 유효값"
67,정원외_입학자_박사_계,competitive_admission_count,경쟁형 수치: 정원-모집-지원-입학 흐름에서 0도 의미 있는 관측값,0 유지: 미모집/미지원/미입학 가능성이 있으므로 NULL로 바꾸지 않음,"NULL이면 데이터 품질 문제, 0은 유효값"
68,정원외_입학자_박사_남,competitive_admission_count,경쟁형 수치: 정원-모집-지원-입학 흐름에서 0도 의미 있는 관측값,0 유지: 미모집/미지원/미입학 가능성이 있으므로 NULL로 바꾸지 않음,"NULL이면 데이터 품질 문제, 0은 유효값"
69,정원외_입학자_박사_여,competitive_admission_count,경쟁형 수치: 정원-모집-지원-입학 흐름에서 0도 의미 있는 관측값,0 유지: 미모집/미지원/미입학 가능성이 있으므로 NULL로 바꾸지 않음,"NULL이면 데이터 품질 문제, 0은 유효값"
70,재적생_전체_계,student_stock_count,집계형 수치: 0은 없음/미발생으로 유지,0 유지: 집계값의 실제 0으로 해석,"NULL이면 데이터 품질 문제, 0은 유효값"
71,재적생_전체_남,student_stock_count,집계형 수치: 0은 없음/미발생으로 유지,0 유지: 집계값의 실제 0으로 해석,"NULL이면 데이터 품질 문제, 0은 유효값"
72,재적생_전체_여,student_stock_count,집계형 수치: 0은 없음/미발생으로 유지,0 유지: 집계값의 실제 0으로 해석,"NULL이면 데이터 품질 문제, 0은 유효값"
73,재학생_전체_계,student_stock_count,집계형 수치: 0은 없음/미발생으로 유지,0 유지: 집계값의 실제 0으로 해석,"NULL이면 데이터 품질 문제, 0은 유효값"
74,재학생_전체_남,student_stock_count,집계형 수치: 0은 없음/미발생으로 유지,0 유지: 집계값의 실제 0으로 해석,"NULL이면 데이터 품질 문제, 0은 유효값"
75,재학생_전체_여,student_stock_count,집계형 수치: 0은 없음/미발생으로 유지,0 유지: 집계값의 실제 0으로 해석,"NULL이면 데이터 품질 문제, 0은 유효값"
76,휴학생_전체_계,student_stock_count,집계형 수치: 0은 없음/미발생으로 유지,0 유지: 집계값의 실제 0으로 해석,"NULL이면 데이터 품질 문제, 0은 유효값"
77,휴학생_전체_남,student_stock_count,집계형 수치: 0은 없음/미발생으로 유지,0 유지: 집계값의 실제 0으로 해석,"NULL이면 데이터 품질 문제, 0은 유효값"
78,휴학생_전체_여,student_stock_count,집계형 수치: 0은 없음/미발생으로 유지,0 유지: 집계값의 실제 0으로 해석,"NULL이면 데이터 품질 문제, 0은 유효값"
79,유예생_전체_계,student_stock_count,집계형 수치: 0은 없음/미발생으로 유지,0 유지: 집계값의 실제 0으로 해석,"NULL이면 데이터 품질 문제, 0은 유효값"
80,유예생_전체_남,student_stock_count,집계형 수치: 0은 없음/미발생으로 유지,0 유지: 집계값의 실제 0으로 해석,"NULL이면 데이터 품질 문제, 0은 유효값"
81,유예생_전체_여,student_stock_count,집계형 수치: 0은 없음/미발생으로 유지,0 유지: 집계값의 실제 0으로 해석,"NULL이면 데이터 품질 문제, 0은 유효값"
82,재적생_석사_계,student_stock_count,집계형 수치: 0은 없음/미발생으로 유지,0 유지: 집계값의 실제 0으로 해석,"NULL이면 데이터 품질 문제, 0은 유효값"
83,재적생_석사_남,student_stock_count,집계형 수치: 0은 없음/미발생으로 유지,0 유지: 집계값의 실제 0으로 해석,"NULL이면 데이터 품질 문제, 0은 유효값"
84,재적생_석사_여,student_stock_count,집계형 수치: 0은 없음/미발생으로 유지,0 유지: 집계값의 실제 0으로 해석,"NULL이면 데이터 품질 문제, 0은 유효값"
85,재학생_석사_계,student_stock_count,집계형 수치: 0은 없음/미발생으로 유지,0 유지: 집계값의 실제 0으로 해석,"NULL이면 데이터 품질 문제, 0은 유효값"
86,재학생_석사_남,student_stock_count,집계형 수치: 0은 없음/미발생으로 유지,0 유지: 집계값의 실제 0으로 해석,"NULL이면 데이터 품질 문제, 0은 유효값"
87,재학생_석사_여,student_stock_count,집계형 수치: 0은 없음/미발생으로 유지,0 유지: 집계값의 실제 0으로 해석,"NULL이면 데이터 품질 문제, 0은 유효값"
88,휴학생_석사_계,student_stock_count,집계형 수치: 0은 없음/미발생으로 유지,0 유지: 집계값의 실제 0으로 해석,"NULL이면 데이터 품질 문제, 0은 유효값"
89,휴학생_석사_남,student_stock_count,집계형 수치: 0은 없음/미발생으로 유지,0 유지: 집계값의 실제 0으로 해석,"NULL이면 데이터 품질 문제, 0은 유효값"
90,휴학생_석사_여,student_stock_count,집계형 수치: 0은 없음/미발생으로 유지,0 유지: 집계값의 실제 0으로 해석,"NULL이면 데이터 품질 문제, 0은 유효값"
91,재적생_박사_계,student_stock_count,집계형 수치: 0은 없음/미발생으로 유지,0 유지: 집계값의 실제 0으로 해석,"NULL이면 데이터 품질 문제, 0은 유효값"
92,재적생_박사_남,student_stock_count,집계형 수치: 0은 없음/미발생으로 유지,0 유지: 집계값의 실제 0으로 해석,"NULL이면 데이터 품질 문제, 0은 유효값"
93,재적생_박사_여,student_stock_count,집계형 수치: 0은 없음/미발생으로 유지,0 유지: 집계값의 실제 0으로 해석,"NULL이면 데이터 품질 문제, 0은 유효값"
94,재학생_박사_계,student_stock_count,집계형 수치: 0은 없음/미발생으로 유지,0 유지: 집계값의 실제 0으로 해석,"NULL이면 데이터 품질 문제, 0은 유효값"
95,재학생_박사_남,student_stock_count,집계형 수치: 0은 없음/미발생으로 유지,0 유지: 집계값의 실제 0으로 해석,"NULL이면 데이터 품질 문제, 0은 유효값"
96,재학생_박사_여,student_stock_count,집계형 수치: 0은 없음/미발생으로 유지,0 유지: 집계값의 실제 0으로 해석,"NULL이면 데이터 품질 문제, 0은 유효값"
97,휴학생_박사_계,student_stock_count,집계형 수치: 0은 없음/미발생으로 유지,0 유지: 집계값의 실제 0으로 해석,"NULL이면 데이터 품질 문제, 0은 유효값"
98,휴학생_박사_남,student_stock_count,집계형 수치: 0은 없음/미발생으로 유지,0 유지: 집계값의 실제 0으로 해석,"NULL이면 데이터 품질 문제, 0은 유효값"
99,휴학생_박사_여,student_stock_count,집계형 수치: 0은 없음/미발생으로 유지,0 유지: 집계값의 실제 0으로 해석,"NULL이면 데이터 품질 문제, 0은 유효값"
100,외국인유학생_총계_계,foreign_student_count,집계형 수치: 0은 없음/미발생으로 유지,0 유지: 집계값의 실제 0으로 해석,"NULL이면 데이터 품질 문제, 0은 유효값"
101,외국인유학생_총계_남,foreign_student_count,집계형 수치: 0은 없음/미발생으로 유지,0 유지: 집계값의 실제 0으로 해석,"NULL이면 데이터 품질 문제, 0은 유효값"
102,외국인유학생_총계_여,foreign_student_count,집계형 수치: 0은 없음/미발생으로 유지,0 유지: 집계값의 실제 0으로 해석,"NULL이면 데이터 품질 문제, 0은 유효값"
103,외국인유학생_학사_계,foreign_student_count,집계형 수치: 0은 없음/미발생으로 유지,0 유지: 집계값의 실제 0으로 해석,"NULL이면 데이터 품질 문제, 0은 유효값"
104,외국인유학생_학사_남,foreign_student_count,집계형 수치: 0은 없음/미발생으로 유지,0 유지: 집계값의 실제 0으로 해석,"NULL이면 데이터 품질 문제, 0은 유효값"
105,외국인유학생_학사_여,foreign_student_count,집계형 수치: 0은 없음/미발생으로 유지,0 유지: 집계값의 실제 0으로 해석,"NULL이면 데이터 품질 문제, 0은 유효값"
106,외국인유학생_석사_계,foreign_student_count,집계형 수치: 0은 없음/미발생으로 유지,0 유지: 집계값의 실제 0으로 해석,"NULL이면 데이터 품질 문제, 0은 유효값"
107,외국인유학생_석사_남,foreign_student_count,집계형 수치: 0은 없음/미발생으로 유지,0 유지: 집계값의 실제 0으로 해석,"NULL이면 데이터 품질 문제, 0은 유효값"
108,외국인유학생_석사_여,foreign_student_count,집계형 수치: 0은 없음/미발생으로 유지,0 유지: 집계값의 실제 0으로 해석,"NULL이면 데이터 품질 문제, 0은 유효값"
109,외국인유학생_박사_계,foreign_student_count,집계형 수치: 0은 없음/미발생으로 유지,0 유지: 집계값의 실제 0으로 해석,"NULL이면 데이터 품질 문제, 0은 유효값"
110,외국인유학생_박사_남,foreign_student_count,집계형 수치: 0은 없음/미발생으로 유지,0 유지: 집계값의 실제 0으로 해석,"NULL이면 데이터 품질 문제, 0은 유효값"
111,외국인유학생_박사_여,foreign_student_count,집계형 수치: 0은 없음/미발생으로 유지,0 유지: 집계값의 실제 0으로 해석,"NULL이면 데이터 품질 문제, 0은 유효값"
112,졸업자_전체,graduate_outcome_count,집계형 수치: 0은 없음/미발생으로 유지,0 유지: 집계값의 실제 0으로 해석,"NULL이면 데이터 품질 문제, 0은 유효값"
113,졸업자_남,graduate_outcome_count,집계형 수치: 0은 없음/미발생으로 유지,0 유지: 집계값의 실제 0으로 해석,"NULL이면 데이터 품질 문제, 0은 유효값"
114,졸업자_전체_여,graduate_outcome_count,집계형 수치: 0은 없음/미발생으로 유지,0 유지: 집계값의 실제 0으로 해석,"NULL이면 데이터 품질 문제, 0은 유효값"
115,졸업자_석사_계,graduate_outcome_count,집계형 수치: 0은 없음/미발생으로 유지,0 유지: 집계값의 실제 0으로 해석,"NULL이면 데이터 품질 문제, 0은 유효값"
116,졸업자_석사_남,graduate_outcome_count,집계형 수치: 0은 없음/미발생으로 유지,0 유지: 집계값의 실제 0으로 해석,"NULL이면 데이터 품질 문제, 0은 유효값"
117,졸업자_석사_여,graduate_outcome_count,집계형 수치: 0은 없음/미발생으로 유지,0 유지: 집계값의 실제 0으로 해석,"NULL이면 데이터 품질 문제, 0은 유효값"
118,졸업자_박사_계,graduate_outcome_count,집계형 수치: 0은 없음/미발생으로 유지,0 유지: 집계값의 실제 0으로 해석,"NULL이면 데이터 품질 문제, 0은 유효값"
119,졸업자_박사_남,graduate_outcome_count,집계형 수치: 0은 없음/미발생으로 유지,0 유지: 집계값의 실제 0으로 해석,"NULL이면 데이터 품질 문제, 0은 유효값"
120,졸업자_박사_여,graduate_outcome_count,집계형 수치: 0은 없음/미발생으로 유지,0 유지: 집계값의 실제 0으로 해석,"NULL이면 데이터 품질 문제, 0은 유효값"
121,전임교원_계,faculty_count,집계형 수치: 0은 없음/미발생으로 유지,0 유지: 집계값의 실제 0으로 해석,"NULL이면 데이터 품질 문제, 0은 유효값"
122,전임교원_남,faculty_count,집계형 수치: 0은 없음/미발생으로 유지,0 유지: 집계값의 실제 0으로 해석,"NULL이면 데이터 품질 문제, 0은 유효값"
123,전임교원_여,faculty_count,집계형 수치: 0은 없음/미발생으로 유지,0 유지: 집계값의 실제 0으로 해석,"NULL이면 데이터 품질 문제, 0은 유효값"
124,비전임교원_계,faculty_count,집계형 수치: 0은 없음/미발생으로 유지,0 유지: 집계값의 실제 0으로 해석,"NULL이면 데이터 품질 문제, 0은 유효값"
125,비전임교원_남,faculty_count,집계형 수치: 0은 없음/미발생으로 유지,0 유지: 집계값의 실제 0으로 해석,"NULL이면 데이터 품질 문제, 0은 유효값"
126,비전임교원_여,faculty_count,집계형 수치: 0은 없음/미발생으로 유지,0 유지: 집계값의 실제 0으로 해석,"NULL이면 데이터 품질 문제, 0은 유효값"
