dataset,column,role,dtype,p3_allowed_operation,p4_warning
D08,goms_profile_years_n,goms_historical_context,Int16,preserve_or_quality_flag_only,결측대체/스케일링/원핫/target 선택은 P4에서 표본별로만 수행
D08,goms_aggregation_method,goms_historical_context,category,preserve_or_quality_flag_only,결측대체/스케일링/원핫/target 선택은 P4에서 표본별로만 수행
D08,goms_recent_employment_rate_pct,goms_historical_context,Float32,preserve_or_quality_flag_only,결측대체/스케일링/원핫/target 선택은 P4에서 표본별로만 수행
D08,goms_recent_firm_300plus_pct,goms_historical_context,Float32,preserve_or_quality_flag_only,결측대체/스케일링/원핫/target 선택은 P4에서 표본별로만 수행
D08,goms_recent_public_nonprofit_pct,goms_historical_context,Float32,preserve_or_quality_flag_only,결측대체/스케일링/원핫/target 선택은 P4에서 표본별로만 수행
D08,goms_recent_permanent_pct,goms_historical_context,Float32,preserve_or_quality_flag_only,결측대체/스케일링/원핫/target 선택은 P4에서 표본별로만 수행
D08,goms_recent_unstable_pct,goms_historical_context,Float32,preserve_or_quality_flag_only,결측대체/스케일링/원핫/target 선택은 P4에서 표본별로만 수행
D08,goms_recent_self_employed_pct,goms_historical_context,Float32,preserve_or_quality_flag_only,결측대체/스케일링/원핫/target 선택은 P4에서 표본별로만 수행
D08,goms_recent_industry_hhi,goms_historical_context,Float32,preserve_or_quality_flag_only,결측대체/스케일링/원핫/target 선택은 P4에서 표본별로만 수행
D08,goms_recent_industry_top3_pct,goms_historical_context,Float32,preserve_or_quality_flag_only,결측대체/스케일링/원핫/target 선택은 P4에서 표본별로만 수행
D08,goms_recent_professional_highskill_pct,goms_historical_context,Float32,preserve_or_quality_flag_only,결측대체/스케일링/원핫/target 선택은 P4에서 표본별로만 수행
D08,goms_recent_mean_income_10kkrw,goms_historical_context,Float32,preserve_or_quality_flag_only,결측대체/스케일링/원핫/target 선택은 P4에서 표본별로만 수행
D08,goms_recent_weekly_work_hours,goms_historical_context,Float32,preserve_or_quality_flag_only,결측대체/스케일링/원핫/target 선택은 P4에서 표본별로만 수행
D08,goms_recent_hourly_income_proxy,goms_historical_context,Float32,preserve_or_quality_flag_only,결측대체/스케일링/원핫/target 선택은 P4에서 표본별로만 수행
D08,goms_income_trend_per_year,goms_historical_context,Float32,preserve_or_quality_flag_only,결측대체/스케일링/원핫/target 선택은 P4에서 표본별로만 수행
D08,goms_hours_trend_per_year,goms_historical_context,Float32,preserve_or_quality_flag_only,결측대체/스케일링/원핫/target 선택은 P4에서 표본별로만 수행
D08,goms_firm_300plus_trend_per_year,goms_historical_context,Float32,preserve_or_quality_flag_only,결측대체/스케일링/원핫/target 선택은 P4에서 표본별로만 수행
D08,goms_permanent_trend_per_year,goms_historical_context,Float32,preserve_or_quality_flag_only,결측대체/스케일링/원핫/target 선택은 P4에서 표본별로만 수행
D08,goms_latest_2019_mean_income_10kkrw,goms_historical_context,Float32,preserve_or_quality_flag_only,결측대체/스케일링/원핫/target 선택은 P4에서 표본별로만 수행
D08,goms_latest_2019_weekly_work_hours,goms_historical_context,Float32,preserve_or_quality_flag_only,결측대체/스케일링/원핫/target 선택은 P4에서 표본별로만 수행
D08,goms_latest_2019_firm_300plus_pct,goms_historical_context,Float32,preserve_or_quality_flag_only,결측대체/스케일링/원핫/target 선택은 P4에서 표본별로만 수행
D08,goms_latest_2019_permanent_pct,goms_historical_context,Float32,preserve_or_quality_flag_only,결측대체/스케일링/원핫/target 선택은 P4에서 표본별로만 수행
D08,goms_source_years_observed,qa_metadata_exclude_from_model,Int16,preserve_or_quality_flag_only,결측대체/스케일링/원핫/target 선택은 P4에서 표본별로만 수행
D08,goms_year_over_year_review_flag,qa_metadata_exclude_from_model,boolean,preserve_or_quality_flag_only,결측대체/스케일링/원핫/target 선택은 P4에서 표본별로만 수행
D08,goms_mapping_confidence,goms_historical_context,category,preserve_or_quality_flag_only,결측대체/스케일링/원핫/target 선택은 P4에서 표본별로만 수행
D08,goms_row_qa_status,qa_metadata_exclude_from_model,category,preserve_or_quality_flag_only,결측대체/스케일링/원핫/target 선택은 P4에서 표본별로만 수행
D04,ctx24_reference_sample_n,context_wage_reference,,source_contract_preserved,계열 단위 context이며 학과 실적으로 해석 금지
D04,ctx24_mean_income_10kkrw,context_wage_reference,,source_contract_preserved,계열 단위 context이며 학과 실적으로 해석 금지
D04,ctx24_median_income_10kkrw,context_wage_reference,,source_contract_preserved,계열 단위 context이며 학과 실적으로 해석 금지
D04,ctx24_income_300plus_pct,context_wage_reference,,source_contract_preserved,계열 단위 context이며 학과 실적으로 해석 금지
D04,ctx24_income_400plus_pct,context_wage_reference,,source_contract_preserved,계열 단위 context이며 학과 실적으로 해석 금지
D04,ctx24_large_company_pct,context_wage_reference,,source_contract_preserved,계열 단위 context이며 학과 실적으로 해석 금지
D04,ctx24_mid_company_pct,context_wage_reference,,source_contract_preserved,계열 단위 context이며 학과 실적으로 해석 금지
D04,ctx24_small_company_pct,context_wage_reference,,source_contract_preserved,계열 단위 context이며 학과 실적으로 해석 금지
D04,ctx24_large_mid_company_pct,context_wage_reference,,source_contract_preserved,계열 단위 context이며 학과 실적으로 해석 금지
D04,ctx24_public_nonprofit_pct,context_wage_reference,,source_contract_preserved,계열 단위 context이며 학과 실적으로 해석 금지
D04,ctx24_cert_rate_pct,context_wage_reference,,source_contract_preserved,계열 단위 context이며 학과 실적으로 해석 금지
D04,ctx24_cert_per_person,context_wage_reference,,source_contract_preserved,계열 단위 context이며 학과 실적으로 해석 금지
D04,ctx24_log10_mean_income,context_wage_reference,,source_contract_preserved,계열 단위 context이며 학과 실적으로 해석 금지
D04,ctx24_industry_top3_pct,context_wage_reference,,source_contract_preserved,계열 단위 context이며 학과 실적으로 해석 금지
D04,ctx24_industry_hhi,context_wage_reference,,source_contract_preserved,계열 단위 context이며 학과 실적으로 해석 금지
D05,직무분류,job_cert_reference_not_joined,str,preserve_only,이번 mart에 직접 조인 금지
D05,job_cert_고등교육기관_건,job_cert_reference_not_joined,float64,preserve_only,이번 mart에 직접 조인 금지
D05,job_cert_학부_건,job_cert_reference_not_joined,float64,preserve_only,이번 mart에 직접 조인 금지
D05,job_cert_대학원_건,job_cert_reference_not_joined,float64,preserve_only,이번 mart에 직접 조인 금지
D05,job_cert_직무비율_pct,job_cert_reference_not_joined,float64,preserve_only,이번 mart에 직접 조인 금지
D05,job_cert_학부비율_pct,job_cert_reference_not_joined,float64,preserve_only,이번 mart에 직접 조인 금지
D05,job_cert_대학원비율_pct,job_cert_reference_not_joined,float64,preserve_only,이번 mart에 직접 조인 금지
D05,job_cert_학부대학원차이_건,job_cert_reference_not_joined,float64,preserve_only,이번 mart에 직접 조인 금지
D05,job_cert_학부대학원차이_pctp,job_cert_reference_not_joined,float64,preserve_only,이번 mart에 직접 조인 금지
D05,job_cert_대학원우세_flag,job_cert_reference_not_joined,bool,preserve_only,이번 mart에 직접 조인 금지
D05,job_cert_is_total_row,job_cert_reference_not_joined,boolean,preserve_only,이번 mart에 직접 조인 금지
D05,job_cert_source_unknown_flag,job_cert_reference_not_joined,bool,preserve_only,이번 mart에 직접 조인 금지
D05,primary_industry_candidate,job_cert_reference_not_joined,str,preserve_only,이번 mart에 직접 조인 금지
D05,industry_candidates,job_cert_reference_not_joined,str,preserve_only,이번 mart에 직접 조인 금지
D05,mapping_type,job_cert_reference_not_joined,str,preserve_only,이번 mart에 직접 조인 금지
D05,confidence,job_cert_reference_not_joined,str,preserve_only,이번 mart에 직접 조인 금지
D05,review_needed,job_cert_reference_not_joined,boolean,preserve_only,이번 mart에 직접 조인 금지
D05,join_now,job_cert_reference_not_joined,boolean,preserve_only,이번 mart에 직접 조인 금지
D05,mapping_missing_flag,job_cert_reference_not_joined,boolean,preserve_only,이번 mart에 직접 조인 금지
D05,guide_match_dept_n,job_cert_reference_not_joined,int64,preserve_only,이번 mart에 직접 조인 금지
D05,guide_match_school_sum,job_cert_reference_not_joined,int64,preserve_only,이번 mart에 직접 조인 금지
D05,guide_match_student_sum,job_cert_reference_not_joined,int64,preserve_only,이번 mart에 직접 조인 금지
D05,guide_match_top_departments,job_cert_reference_not_joined,str,preserve_only,이번 mart에 직접 조인 금지
D05,guide_terms,job_cert_reference_not_joined,str,preserve_only,이번 mart에 직접 조인 금지
D05,decision_note,job_cert_reference_not_joined,str,preserve_only,이번 mart에 직접 조인 금지
D05,cleaning_policy,job_cert_reference_not_joined,str,preserve_only,이번 mart에 직접 조인 금지
D05,job_group_raw,job_cert_reference_not_joined,string,preserve_only,이번 mart에 직접 조인 금지
D05,is_total_row,job_cert_reference_not_joined,boolean,preserve_only,이번 mart에 직접 조인 금지
D05,is_model_row,job_cert_reference_not_joined,bool,preserve_only,이번 mart에 직접 조인 금지
D05,decision_reason,job_cert_reference_not_joined,str,preserve_only,이번 mart에 직접 조인 금지
D05,source_file,job_cert_reference_not_joined,str,preserve_only,이번 mart에 직접 조인 금지
D05,source_sha256,job_cert_reference_not_joined,str,preserve_only,이번 mart에 직접 조인 금지
