major_group_7,outcome,grade_signal,allowed_sentence,guardrail
ENG,GRAD_SCHOOL_PROGRESSION,RAW_A,ENG 계열에서는 RAW_A과 GRAD_SCHOOL_PROGRESSION 사이에 양의 조건부 기울기가 관찰됐다.,탐색적 조건부 기울기이며 인과효과 또는 context 효과로 해석하지 않는다.
ENG,GRAD_SCHOOL_PROGRESSION,WITHIN_MAJOR_A,ENG 계열에서는 WITHIN_MAJOR_A과 GRAD_SCHOOL_PROGRESSION 사이에 양의 조건부 기울기가 관찰됐다.,탐색적 조건부 기울기이며 인과효과 또는 context 효과로 해석하지 않는다.
HUM,HEALTH_EMPLOYMENT,RAW_A,HUM 계열에서는 RAW_A과 HEALTH_EMPLOYMENT 사이에 양의 조건부 기울기가 관찰됐다.,탐색적 조건부 기울기이며 인과효과 또는 context 효과로 해석하지 않는다.
HUM,HEALTH_EMPLOYMENT,WITHIN_MAJOR_A,HUM 계열에서는 WITHIN_MAJOR_A과 HEALTH_EMPLOYMENT 사이에 양의 조건부 기울기가 관찰됐다.,탐색적 조건부 기울기이며 인과효과 또는 context 효과로 해석하지 않는다.
HUM,GRAD_SCHOOL_PROGRESSION,RAW_A,HUM 계열에서는 RAW_A과 GRAD_SCHOOL_PROGRESSION 사이에 양의 조건부 기울기가 관찰됐다.,탐색적 조건부 기울기이며 인과효과 또는 context 효과로 해석하지 않는다.
HUM,GRAD_SCHOOL_PROGRESSION,WITHIN_MAJOR_A,HUM 계열에서는 WITHIN_MAJOR_A과 GRAD_SCHOOL_PROGRESSION 사이에 양의 조건부 기울기가 관찰됐다.,탐색적 조건부 기울기이며 인과효과 또는 context 효과로 해석하지 않는다.
MED,HEALTH_EMPLOYMENT,RAW_A,MED 계열에서는 RAW_A과 HEALTH_EMPLOYMENT 사이에 음의 조건부 기울기가 관찰됐다.,탐색적 조건부 기울기이며 인과효과 또는 context 효과로 해석하지 않는다.
MED,HEALTH_EMPLOYMENT,WITHIN_MAJOR_A,MED 계열에서는 WITHIN_MAJOR_A과 HEALTH_EMPLOYMENT 사이에 음의 조건부 기울기가 관찰됐다.,탐색적 조건부 기울기이며 인과효과 또는 context 효과로 해석하지 않는다.
MED,GRAD_SCHOOL_PROGRESSION,RAW_A,MED 계열에서는 RAW_A과 GRAD_SCHOOL_PROGRESSION 사이에 양의 조건부 기울기가 관찰됐다.,탐색적 조건부 기울기이며 인과효과 또는 context 효과로 해석하지 않는다.
MED,GRAD_SCHOOL_PROGRESSION,WITHIN_MAJOR_A,MED 계열에서는 WITHIN_MAJOR_A과 GRAD_SCHOOL_PROGRESSION 사이에 양의 조건부 기울기가 관찰됐다.,탐색적 조건부 기울기이며 인과효과 또는 context 효과로 해석하지 않는다.
NAT,HEALTH_EMPLOYMENT,RAW_A,NAT 계열에서는 RAW_A과 HEALTH_EMPLOYMENT 사이에 음의 조건부 기울기가 관찰됐다.,탐색적 조건부 기울기이며 인과효과 또는 context 효과로 해석하지 않는다.
NAT,HEALTH_EMPLOYMENT,WITHIN_MAJOR_A,NAT 계열에서는 WITHIN_MAJOR_A과 HEALTH_EMPLOYMENT 사이에 음의 조건부 기울기가 관찰됐다.,탐색적 조건부 기울기이며 인과효과 또는 context 효과로 해석하지 않는다.
NAT,GRAD_SCHOOL_PROGRESSION,RAW_A,NAT 계열에서는 RAW_A과 GRAD_SCHOOL_PROGRESSION 사이에 양의 조건부 기울기가 관찰됐다.,탐색적 조건부 기울기이며 인과효과 또는 context 효과로 해석하지 않는다.
NAT,GRAD_SCHOOL_PROGRESSION,WITHIN_MAJOR_A,NAT 계열에서는 WITHIN_MAJOR_A과 GRAD_SCHOOL_PROGRESSION 사이에 양의 조건부 기울기가 관찰됐다.,탐색적 조건부 기울기이며 인과효과 또는 context 효과로 해석하지 않는다.
SOC,HEALTH_EMPLOYMENT,RAW_A,SOC 계열에서는 RAW_A과 HEALTH_EMPLOYMENT 사이에 양의 조건부 기울기가 관찰됐다.,탐색적 조건부 기울기이며 인과효과 또는 context 효과로 해석하지 않는다.
SOC,HEALTH_EMPLOYMENT,WITHIN_MAJOR_A,SOC 계열에서는 WITHIN_MAJOR_A과 HEALTH_EMPLOYMENT 사이에 양의 조건부 기울기가 관찰됐다.,탐색적 조건부 기울기이며 인과효과 또는 context 효과로 해석하지 않는다.
SOC,GRAD_SCHOOL_PROGRESSION,RAW_A,SOC 계열에서는 RAW_A과 GRAD_SCHOOL_PROGRESSION 사이에 양의 조건부 기울기가 관찰됐다.,탐색적 조건부 기울기이며 인과효과 또는 context 효과로 해석하지 않는다.
SOC,GRAD_SCHOOL_PROGRESSION,WITHIN_MAJOR_A,SOC 계열에서는 WITHIN_MAJOR_A과 GRAD_SCHOOL_PROGRESSION 사이에 양의 조건부 기울기가 관찰됐다.,탐색적 조건부 기울기이며 인과효과 또는 context 효과로 해석하지 않는다.
